recording_key,subject,session,run,window_samples,window_s,from_description,to_description,from_onset_s,to_onset_s,gap_s,overlap_s,overlap_samples,overlap_fraction_of_window,is_any_overlap,is_major_overlap_25pct,is_major_overlap_50pct
10::0::0,10,0,0,512,1.024,left_hand,right_hand,4.008,8.008,3.999999999999999,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,8.008,10.0,1.9920000000000009,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,10.0,12.004,2.0039999999999996,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,12.004,16.006,4.002000000000001,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,16.006,18.0,1.9939999999999998,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,18.0,20.006,2.0060000000000002,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,20.006,24.006,4.0,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,24.006,26.0,1.9939999999999998,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,26.0,28.006,2.0060000000000002,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,28.006,32.008,4.0020000000000024,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,32.008,34.0,1.9919999999999973,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,34.0,36.006,2.0060000000000002,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,36.006,40.01,4.003999999999998,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,40.01,42.0,1.990000000000002,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,42.0,44.008,2.0080000000000027,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,44.008,48.012,4.003999999999998,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,48.012,50.0,1.9879999999999995,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,50.0,52.008,2.0080000000000027,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,52.008,56.012,4.003999999999998,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,56.012,58.0,1.9879999999999995,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,58.0,60.004,2.003999999999998,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,60.004,64.006,4.0020000000000024,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,64.006,66.0,1.9939999999999998,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,66.0,68.008,2.0079999999999956,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,68.008,72.012,4.004000000000005,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,72.012,74.0,1.9879999999999995,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,74.0,76.006,2.0060000000000002,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,76.006,80.008,4.001999999999995,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,80.008,82.0,1.9920000000000044,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,82.0,84.004,2.004000000000005,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,84.004,88.006,4.001999999999995,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,88.006,90.0,1.9939999999999998,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,90.0,92.006,2.0060000000000002,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,92.006,96.01,4.004000000000005,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,96.01,98.0,1.9899999999999949,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,98.0,100.008,2.0079999999999956,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,left_hand,right_hand,100.008,104.008,4.0,0.0,0,0.0,False,False,False
10::0::0,10,0,0,512,1.024,right_hand,left_hand,104.008,106.0,1.9920000000000044,0.0,0,0.0,False,False,False
10::0::0,10,0,0,536,1.072,left_hand,right_hand,4.008,8.008,3.999999999999999,0.0,0,0.0,False,False,False
10::0::0,10,0,0,536,1.072,right_hand,left_hand,8.008,10.0,1.9920000000000009,0.0,0,0.0,False,False,False
10::0::0,10,0,0,536,1.072,left_hand,right_hand,10.0,12.004,2.0039999999999996,0.0,0,0.0,False,False,False
