recording_index,subject,session,run,sfreq,n_channels,n_times,duration_s,annotation_counts
0,1,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
1,2,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
2,3,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
3,4,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
4,5,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
5,6,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
6,7,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
7,8,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
8,9,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
9,10,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
10,11,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
11,12,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
12,13,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
13,14,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
14,15,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
15,16,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
16,17,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
17,18,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
18,19,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
19,20,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
20,21,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
21,22,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
22,23,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
23,24,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
24,25,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
25,26,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
26,27,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
27,28,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
28,29,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
29,30,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
30,31,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
31,32,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
32,33,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
33,34,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
34,35,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
35,36,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
36,37,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
37,38,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
38,39,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
39,40,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
40,41,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
41,42,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
42,43,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
43,44,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
44,45,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
45,46,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
46,47,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
47,48,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
48,49,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
49,50,0,0,500.0,32,160000,320.0,"{'left_hand': 20, 'right_hand': 19}"
