subject_id,path,raw_field,label_field,rawdata_shape,labels_shape,n_trials,class_counts,samples_per_trial_after_resample,crop_start_sample,crop_stop_sample,window_samples,effective_sfreq
1,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-01/sub-01_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
2,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-02/sub-02_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
3,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-03/sub-03_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
4,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-04/sub-04_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
5,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-05/sub-05_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
6,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-06/sub-06_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
7,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-07/sub-07_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
8,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-08/sub-08_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
9,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-09/sub-09_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
10,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-10/sub-10_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
11,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-11/sub-11_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
12,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-12/sub-12_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
13,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-13/sub-13_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
14,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-14/sub-14_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
15,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-15/sub-15_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
16,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-16/sub-16_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
17,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-17/sub-17_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
18,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-18/sub-18_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
19,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-19/sub-19_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
20,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-20/sub-20_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
21,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-21/sub-21_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
22,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-22/sub-22_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
23,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-23/sub-23_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
24,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-24/sub-24_task-motor-imagery_eeg.mat,eeg.rawdata,eeg.label,"(40, 33, 4000)","(40,)",40,"[20, 20]",1024,192,729,537,128.0
