subject_id,path,rawdata_shape,labels_shape,label_counts_raw,raw_field,label_field
1,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-01/sub-01_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
2,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-02/sub-02_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
3,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-03/sub-03_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
4,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-04/sub-04_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
5,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-05/sub-05_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
6,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-06/sub-06_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
7,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-07/sub-07_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
8,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-08/sub-08_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
9,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-09/sub-09_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
10,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-10/sub-10_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
11,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-11/sub-11_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
12,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-12/sub-12_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
13,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-13/sub-13_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
14,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-14/sub-14_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
15,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-15/sub-15_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
16,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-16/sub-16_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
17,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-17/sub-17_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
18,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-18/sub-18_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
19,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-19/sub-19_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
20,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-20/sub-20_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
21,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-21/sub-21_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
22,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-22/sub-22_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
23,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-23/sub-23_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
24,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-24/sub-24_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
25,/home/vegorov/Repos/eeg_jepa_research/liu2024_data/liu2024_figshare/sourcedata/sub-25/sub-25_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
