subject_id,source_path,source_sha256,n_trials,class_0,class_1,input_shape,marker_min,marker_max
sub-01,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-01/sub-01_task-motor-imagery_eeg.mat,ed09040fb8fe6924eab4e8472760b1b2ffaa7a28d827e03b3bd5b9bd033e6c7a,40,20,20,"[40, 29, 1000]",1002,1019
sub-02,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-02/sub-02_task-motor-imagery_eeg.mat,32039ddc9cc517b2564670177d1ea970375eff7d1d7e49247afdad28db09a63b,40,20,20,"[40, 29, 1000]",1002,1011
sub-03,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-03/sub-03_task-motor-imagery_eeg.mat,b11b1065574028e678b31160b8b62f5ecf91062d53edbdf2ddfb70f30087f7cb,40,20,20,"[40, 29, 1000]",1003,1010
sub-04,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-04/sub-04_task-motor-imagery_eeg.mat,739d067ea78d90bc5b295fbe290045b568d04a2bcacadea3774d202ae7ab4a64,40,20,20,"[40, 29, 1000]",1008,1010
sub-05,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-05/sub-05_task-motor-imagery_eeg.mat,bd58e2917e6e8cb5c798f1e8fbdf98ae74de446f2f9547f48e97a7b9ee2dfff4,40,20,20,"[40, 29, 1000]",1008,1010
sub-06,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-06/sub-06_task-motor-imagery_eeg.mat,bdb15b9a961b4b58dc2ea3e3ee292aac124d92cc474e1d54394e00b0bbb323db,40,20,20,"[40, 29, 1000]",1005,1830
sub-07,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-07/sub-07_task-motor-imagery_eeg.mat,e194307f958ad51f33c361fe0b810f871b1d80b617ff858727cb7c5b80d22b10,40,20,20,"[40, 29, 1000]",1007,1012
sub-08,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-08/sub-08_task-motor-imagery_eeg.mat,1ec3c362533aacfaeb79a05c0cda5849a616ab42faffd3d63b77e8dbb36934bc,40,20,20,"[40, 29, 1000]",1,1010
sub-09,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-09/sub-09_task-motor-imagery_eeg.mat,4c9bd9b1ac0819a63e0e5e4a5c771acb048953e31e94909c322a50740fe35059,40,20,20,"[40, 29, 1000]",1003,1011
sub-10,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-10/sub-10_task-motor-imagery_eeg.mat,ae8428a9fcc1742d670c93b38726b3d174dc6a9324e2a2487fc85721c51ea938,40,20,20,"[40, 29, 1000]",1002,1028
