subject_id,n_windows,class_counts,preprocessed_shape,resampled_samples_per_trial,crop_start_sample,crop_stop_sample,target_window_samples,effective_window_duration_s,preprocessing_path,source_values_assumed,model_input_units_before_fold_standardization
1,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
2,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
3,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
4,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
5,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
6,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
7,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
8,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
9,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
10,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
11,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
12,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
13,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
14,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
15,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
16,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
17,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
18,40,"[20, 20]","(40, 29, 512)",1024,0,512,512,4.0,EEGNetv4: average_ref -> bandpass -> resample -> crop -> epoch_baseline,microvolts,microvolts
