subject_id,outer_fold,predicted_reliability,selected_alpha,n_development_patients,score_status
sub-01,0,0.5827860075833095,100.0,40,written_before_outcome_evaluation
sub-02,1,0.5552793438550939,100.0,40,written_before_outcome_evaluation
sub-03,2,0.5608882878884823,100.0,40,written_before_outcome_evaluation
sub-04,4,0.5533027236187883,100.0,40,written_before_outcome_evaluation
sub-05,4,0.5955536555983285,100.0,40,written_before_outcome_evaluation
sub-06,2,0.6315375556593265,100.0,40,written_before_outcome_evaluation
sub-07,1,0.5657520845201276,100.0,40,written_before_outcome_evaluation
sub-08,4,0.5545590126594143,100.0,40,written_before_outcome_evaluation
sub-09,4,0.5648580395647549,100.0,40,written_before_outcome_evaluation
sub-10,0,0.6274742618899048,100.0,40,written_before_outcome_evaluation
sub-11,1,0.5943938218674627,100.0,40,written_before_outcome_evaluation
sub-12,3,0.4874814768297105,0.1,40,written_before_outcome_evaluation
sub-13,3,0.5399436814357357,0.1,40,written_before_outcome_evaluation
sub-14,0,0.5805541131100745,100.0,40,written_before_outcome_evaluation
sub-15,0,0.6824212691638372,100.0,40,written_before_outcome_evaluation
sub-16,3,0.518398937037946,0.1,40,written_before_outcome_evaluation
sub-17,2,0.5686762436250263,100.0,40,written_before_outcome_evaluation
sub-18,3,0.6554828111498003,0.1,40,written_before_outcome_evaluation
sub-19,0,0.5625574598974875,100.0,40,written_before_outcome_evaluation
sub-20,1,0.5833727675317235,100.0,40,written_before_outcome_evaluation
sub-21,1,0.5570564858253535,100.0,40,written_before_outcome_evaluation
sub-22,0,0.6019983078877388,100.0,40,written_before_outcome_evaluation
sub-23,4,0.55037297990422,100.0,40,written_before_outcome_evaluation
sub-24,2,0.5769589785691037,100.0,40,written_before_outcome_evaluation
sub-25,1,0.5689361304304645,100.0,40,written_before_outcome_evaluation
sub-26,3,0.5658415524205664,0.1,40,written_before_outcome_evaluation
sub-27,2,0.5695731810964733,100.0,40,written_before_outcome_evaluation
sub-28,4,0.5498581248892497,100.0,40,written_before_outcome_evaluation
sub-29,0,0.5641096161798949,100.0,40,written_before_outcome_evaluation
sub-30,3,0.571192169220987,0.1,40,written_before_outcome_evaluation
sub-31,3,0.48232640551211237,0.1,40,written_before_outcome_evaluation
sub-32,4,0.5577524318521209,100.0,40,written_before_outcome_evaluation
sub-33,1,0.5708005320110775,100.0,40,written_before_outcome_evaluation
sub-34,0,0.5459700332918429,100.0,40,written_before_outcome_evaluation
sub-35,0,0.6093787718446769,100.0,40,written_before_outcome_evaluation
sub-36,3,0.5365298239024063,0.1,40,written_before_outcome_evaluation
sub-37,2,0.60441980692186,100.0,40,written_before_outcome_evaluation
sub-38,1,0.5541984730017895,100.0,40,written_before_outcome_evaluation
sub-39,4,0.5686188429279987,100.0,40,written_before_outcome_evaluation
sub-40,1,0.5572335992263829,100.0,40,written_before_outcome_evaluation
sub-41,3,0.5502803020001498,0.1,40,written_before_outcome_evaluation
sub-42,2,0.5989534265593008,100.0,40,written_before_outcome_evaluation
sub-43,2,0.5533031295916657,100.0,40,written_before_outcome_evaluation
sub-44,4,0.5716459799263044,100.0,40,written_before_outcome_evaluation
sub-45,2,0.5854920606334861,100.0,40,written_before_outcome_evaluation
sub-46,2,0.5609634161144912,100.0,40,written_before_outcome_evaluation
sub-47,3,0.501133002390492,0.1,40,written_before_outcome_evaluation
sub-48,4,0.5592916286557872,100.0,40,written_before_outcome_evaluation
sub-49,1,0.5926752140787446,100.0,40,written_before_outcome_evaluation
sub-50,0,0.6068718442769754,100.0,40,written_before_outcome_evaluation
