subject_id,qc_scope,n_trials,marker_valid_count,marker_fallback_count,marker_valid_fraction,finite_fraction,channel_sd_median,robust_sd_median,robust_sd_min,robust_sd_max,peak_to_peak_median,peak_to_peak_p95,clipped_fraction,extreme_fraction,flat_channel_count,line_50hz_ratio,hf_30_40_to_8_30_ratio,channel_variance_log_iqr,motor13_cov_effective_rank_mean,motor13_cov_condition_median,split_half_log_bandpower_reliability
sub-01,full_recording_transductive_label_blind,40,40,0,1.0,1.0,19.44011877837764,11.996208071256644,7.0254036218411455,17.629786447261235,68.53044849997104,197.79840979557056,0.0,0.0016168103448275862,0,0.2987825164782368,0.13366656003702104,0.798680324376341,4.236679871151053,248.19693967597095,0.9906831084867531
sub-02,full_recording_transductive_label_blind,40,40,0,1.0,1.0,64.92949331224635,46.19534268323575,6.59460056955837,74.52892804490665,188.8387130306619,432.3218533184381,0.0,0.0014790948275862068,0,0.29119979581024386,0.15796973084018154,0.9425655590455655,4.084737394837956,663.6041415211099,0.9934415399901387
sub-03,full_recording_transductive_label_blind,40,40,0,1.0,1.0,43.93524486572984,33.23811241842533,9.709638024526027,70.66826992252795,168.49862557633423,477.4556133098126,0.0,0.002525,0,0.9789461350540121,0.09849215200859138,1.9106938754300353,4.153947229088319,409.1122377660473,0.9925719925957983
sub-04,full_recording_transductive_label_blind,40,40,0,1.0,1.0,42.28071744110868,34.7790617977449,10.902631092385112,124.17069514640562,202.484453020626,447.5612726880635,0.0,0.0,0,0.9115482666525874,0.1281991198807347,2.051686520082984,4.214995619051576,622.327375002551,0.9945226887194057
sub-05,full_recording_transductive_label_blind,40,40,0,1.0,1.0,291.79587055252404,370.61414137959196,368.6991435241355,373.2976318208932,1151.38569751856,1385.3681747286678,0.0,0.0,0,0.20456180630456283,0.45202548814758836,0.046245119016008474,12.598235679554051,2.320589375460133,0.9778826197725609
sub-06,full_recording_transductive_label_blind,40,15,25,0.375,1.0,152.721200350554,106.25922978034379,48.03454032952069,250.6528143617885,449.2253600627611,1319.194369816108,0.0,0.00022564655172413792,0,0.23138736867598156,0.04916438975743659,1.5608059736054791,3.8067019616528883,919.4350200566712,0.9931816255426862
sub-07,full_recording_transductive_label_blind,40,40,0,1.0,1.0,21.17444288642513,15.210661615213878,9.179418883255023,30.25562974877711,101.83454773837911,381.87508367003,0.0,0.0017685344827586206,0,0.51459450622394,0.1411434510644501,1.1734552698078833,4.391978140519386,428.80828570255676,0.9769108403994825
sub-08,full_recording_transductive_label_blind,40,39,1,0.975,1.0,149.32642667910716,100.95703836763391,20.64540781324003,302.4900200951114,424.86195860647695,1237.8962853297796,0.0,0.0,0,0.8836071846206458,0.1555388084885824,2.7229327602557802,4.638043929090391,270.0966387369661,0.9948873584582663
sub-09,full_recording_transductive_label_blind,40,40,0,1.0,1.0,16.78594687280919,13.752558976717603,7.307082540640903,25.955883900032497,87.26121035351889,185.92963348980362,0.0,0.00024525862068965515,0,0.7443521154143995,0.08485103681655562,0.8096516624613965,4.5425853236131,460.2511383240253,0.9830705824224416
sub-10,full_recording_transductive_label_blind,40,40,0,1.0,1.0,28.684295338656938,21.208765650840515,14.034237895517363,64.40505631626279,114.67562492795307,326.56457442815133,0.0,0.0,0,0.8801871978958011,0.09399249316004232,0.5440673192195291,3.9236272913766586,413.71423250563123,0.9576506902782994
