subject_id,path,n_trials,subject_split_hash
sub-01,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-01/sub-01_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-02,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-02/sub-02_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-03,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-03/sub-03_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-04,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-04/sub-04_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-05,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-05/sub-05_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-06,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-06/sub-06_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-07,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-07/sub-07_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-08,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-08/sub-08_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-09,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-09/sub-09_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-10,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-10/sub-10_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-11,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-11/sub-11_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-12,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-12/sub-12_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-13,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-13/sub-13_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-14,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-14/sub-14_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-15,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-15/sub-15_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-16,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-16/sub-16_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-17,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-17/sub-17_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-18,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-18/sub-18_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-19,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-19/sub-19_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-20,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-20/sub-20_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-21,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-21/sub-21_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-22,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-22/sub-22_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-23,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-23/sub-23_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-24,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-24/sub-24_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-25,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-25/sub-25_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-26,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-26/sub-26_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-27,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-27/sub-27_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
sub-28,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-28/sub-28_task-motor-imagery_eeg.mat,40,801ec1d2c981335f
