method_name,subject_id,repeat_id,train_class_counts,test_class_counts
CSP_LDA,1,1,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,1,2,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,1,3,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,1,4,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,1,5,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,1,6,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,1,7,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,1,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,1,9,"{1: 15, 2: 9}","{1: 5, 2: 11}"
CSP_LDA,1,10,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,2,1,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,2,2,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,2,3,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,2,4,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,2,5,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,2,6,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,2,7,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,2,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,2,9,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,2,10,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,3,1,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,3,2,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,3,3,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,3,4,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,3,5,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,3,6,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,3,7,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,3,8,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,3,9,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,3,10,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,4,1,"{1: 15, 2: 9}","{1: 5, 2: 11}"
CSP_LDA,4,2,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,4,3,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,4,4,"{1: 9, 2: 15}","{1: 11, 2: 5}"
CSP_LDA,4,5,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,4,6,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,4,7,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,4,8,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,4,9,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,4,10,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,5,1,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,5,2,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,5,3,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,5,4,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,5,5,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,5,6,"{1: 14, 2: 10}","{1: 6, 2: 10}"
CSP_LDA,5,7,"{1: 12, 2: 12}","{1: 8, 2: 8}"
CSP_LDA,5,8,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,5,9,"{1: 11, 2: 13}","{1: 9, 2: 7}"
CSP_LDA,5,10,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,6,1,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,6,2,"{1: 13, 2: 11}","{1: 7, 2: 9}"
CSP_LDA,6,3,"{1: 10, 2: 14}","{1: 10, 2: 6}"
CSP_LDA,6,4,"{1: 14, 2: 10}","{1: 6, 2: 10}"
