subject_id,n_windows,class_counts,preprocessed_shape,resampled_samples_per_trial,crop_start_sample,crop_stop_sample,target_window_samples,effective_window_duration_s
1,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
2,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
3,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
4,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
5,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
6,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
7,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
8,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
9,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
10,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
11,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
12,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
13,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
14,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
15,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
16,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
17,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
18,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
19,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
20,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
21,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
22,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
23,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
24,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
25,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
26,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
27,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
28,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
29,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
30,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
31,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
32,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
33,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
34,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
35,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
36,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
37,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
38,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
39,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
40,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
41,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
42,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
43,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
44,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
45,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
46,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
47,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
48,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
49,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
50,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125
