subject_id,fold_id,test_indices,true_labels,predictions,probabilities,accuracy,balanced_accuracy,confusion_matrix,prediction_histogram,collapse_diagnostics,parameter_count,trainable_parameter_count,training_seconds,seed,seed_ensemble,split_hash
sub-01,0,"[3, 7, 11, 13, 16, 20, 24, 38]","[1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.22906428575515747, 0.7709356546401978], [0.42975544929504395, 0.5702444911003113], [0.2849329710006714, 0.7150670289993286], [0.31581345200538635, 0.6841865181922913], [0.3482978343963623, 0.6517022252082825], [0.3158387541770935, 0.6841611862182617], [0.1931208372116089, 0.8068791627883911], [0.22190359234809875, 0.7780964374542236]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},16932,15941,14.223492082906887,2026,[2026],a7bcc59841abbf2c
sub-01,1,"[5, 8, 15, 22, 23, 28, 36, 39]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 0, 1, 1, 0, 0]","[[0.31082671880722046, 0.6891733407974243], [0.28214403986930847, 0.7178559899330139], [0.8749701380729675, 0.12502987682819366], [0.5121251344680786, 0.487874835729599], [0.35854801535606384, 0.641451895236969], [0.37644246220588684, 0.6235575079917908], [0.5764573216438293, 0.42354273796081543], [0.5427967309951782, 0.4572032392024994]]",0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",{'collapsed': False},16932,15941,13.201113375136629,2026,[2026],1c53c1a29fc322e7
sub-01,2,"[1, 2, 4, 6, 12, 17, 21, 33]","[1, 0, 0, 0, 0, 1, 1, 1]","[0, 1, 1, 0, 1, 0, 1, 0]","[[0.6859415769577026, 0.31405842304229736], [0.4351799786090851, 0.5648200511932373], [0.24803942441940308, 0.7519606351852417], [0.5907987356185913, 0.4092012941837311], [0.4740953743457794, 0.5259045362472534], [0.5201088190078735, 0.47989127039909363], [0.40665945410728455, 0.5933405160903931], [0.8866670727729797, 0.11333296447992325]]",0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",{'collapsed': False},16932,15941,13.143542333971709,2026,[2026],ea5cbac81b35a516
sub-01,3,"[0, 9, 10, 19, 26, 27, 29, 34]","[0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 0, 0, 1, 0]","[[0.1595515012741089, 0.8404484987258911], [0.8915317058563232, 0.10846830159425735], [0.44911324977874756, 0.5508867502212524], [0.5532435774803162, 0.44675636291503906], [0.6990474462509155, 0.3009525239467621], [0.643650472164154, 0.35634952783584595], [0.4737164080142975, 0.5262836217880249], [0.826976478099823, 0.1730235368013382]]",0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",{'collapsed': False},16932,15941,13.203240749891847,2026,[2026],39c12103adbfcf72
sub-01,4,"[14, 18, 25, 30, 31, 32, 35, 37]","[0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 0]","[[0.10928723961114883, 0.8907127380371094], [0.13038676977157593, 0.8696132898330688], [0.5866698622703552, 0.4133301079273224], [0.46641063690185547, 0.5335893034934998], [0.6424674987792969, 0.3575325310230255], [0.3492012917995453, 0.6507987380027771], [0.716246485710144, 0.28375351428985596], [0.5187008380889893, 0.48129913210868835]]",0.0,0.0,"[[0, 4], [4, 0]]","[4, 4]",{'collapsed': False},16932,15941,13.182752707973123,2026,[2026],3428be8934373007
sub-02,0,"[3, 7, 11, 13, 16, 20, 24, 38]","[1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 1]","[[0.5087419152259827, 0.49125802516937256], [0.700010359287262, 0.29998964071273804], [0.6640145778656006, 0.3359854221343994], [0.7497349977493286, 0.2502649426460266], [0.4223037362098694, 0.5776962041854858], [0.20800912380218506, 0.7919908761978149], [0.7318899035453796, 0.26811009645462036], [0.3928416073322296, 0.6071584224700928]]",0.125,0.125,"[[1, 3], [4, 0]]","[5, 3]",{'collapsed': False},16932,15941,13.234157416969538,2026,[2026],a7bcc59841abbf2c
sub-02,1,"[5, 8, 15, 22, 23, 28, 36, 39]","[1, 0, 1, 0, 1, 0, 0, 1]","[0, 0, 0, 1, 0, 1, 0, 0]","[[0.6503270864486694, 0.34967297315597534], [0.5803350210189819, 0.4196649491786957], [0.5536677837371826, 0.44633230566978455], [0.4005252420902252, 0.5994747877120972], [0.6897110939025879, 0.3102888762950897], [0.24883601069450378, 0.7511640787124634], [0.8481993675231934, 0.15180057287216187], [0.7877309322357178, 0.21226906776428223]]",0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",{'collapsed': False},16932,15941,13.175204667029902,2026,[2026],1c53c1a29fc322e7
sub-02,2,"[1, 2, 4, 6, 12, 17, 21, 33]","[1, 0, 0, 0, 0, 1, 1, 1]","[0, 1, 1, 0, 1, 0, 0, 1]","[[0.6093797087669373, 0.39062023162841797], [0.23170995712280273, 0.7682900428771973], [0.4579966962337494, 0.542003333568573], [0.5616248250007629, 0.43837517499923706], [0.08790364861488342, 0.912096381187439], [0.7089965343475342, 0.2910034656524658], [0.8649523258209229, 0.13504765927791595], [0.04265160486102104, 0.9573483467102051]]",0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",{'collapsed': False},16932,15941,13.214474249863997,2026,[2026],ea5cbac81b35a516
sub-02,3,"[0, 9, 10, 19, 26, 27, 29, 34]","[0, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 0]","[[0.521723210811615, 0.4782768189907074], [0.4728395342826843, 0.5271604657173157], [0.4544527232646942, 0.5455473065376282], [0.6820846796035767, 0.3179153501987457], [0.6663765907287598, 0.33362337946891785], [0.6296353340148926, 0.37036457657814026], [0.27700501680374146, 0.7229949235916138], [0.6631366014480591, 0.33686333894729614]]",0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",{'collapsed': False},16932,15941,13.18092624982819,2026,[2026],39c12103adbfcf72
sub-02,4,"[14, 18, 25, 30, 31, 32, 35, 37]","[0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0]","[[0.16839230060577393, 0.8316076993942261], [0.40158018469810486, 0.5984197854995728], [0.2587757408618927, 0.7412242889404297], [0.40802910923957825, 0.5919708609580994], [0.41100141406059265, 0.588998556137085], [0.408770889043808, 0.5912290811538696], [0.3619247078895569, 0.6380752325057983], [0.6365989446640015, 0.3634010851383209]]",0.375,0.375,"[[0, 4], [1, 3]]","[1, 7]",{'collapsed': False},16932,15941,13.16543412511237,2026,[2026],3428be8934373007
sub-03,0,"[3, 7, 11, 13, 16, 20, 24, 38]","[1, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 1, 1]","[[0.739206850528717, 0.26079311966896057], [0.22397932410240173, 0.7760206460952759], [0.4962292015552521, 0.5037708282470703], [0.41444963216781616, 0.5855503082275391], [0.5407247543334961, 0.45927518606185913], [0.7044599652290344, 0.2955399751663208], [0.02121300995349884, 0.9787870049476624], [0.2654346227645874, 0.7345653772354126]]",0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",{'collapsed': False},16932,15941,13.179817833937705,2026,[2026],a7bcc59841abbf2c
sub-03,1,"[5, 8, 15, 22, 23, 28, 36, 39]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.3374825119972229, 0.6625174880027771], [0.3114992380142212, 0.6885007619857788], [0.21488763391971588, 0.7851123213768005], [0.4617130756378174, 0.5382869243621826], [0.2786450684070587, 0.7213549017906189], [0.48585987091064453, 0.5141401290893555], [0.35976549983024597, 0.6402345299720764], [0.4201350808143616, 0.5798649191856384]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},16932,15941,13.171370333060622,2026,[2026],1c53c1a29fc322e7
sub-03,2,"[1, 2, 4, 6, 12, 17, 21, 33]","[1, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 1, 0, 1]","[[0.5917491912841797, 0.4082507789134979], [0.7568181157112122, 0.24318189918994904], [0.11755353957414627, 0.8824464082717896], [0.7165406942367554, 0.28345927596092224], [0.8555228114128113, 0.1444772630929947], [0.14787396788597107, 0.8521260023117065], [0.7642459273338318, 0.23575405776500702], [0.4340181350708008, 0.565981924533844]]",0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",{'collapsed': False},16932,15941,13.182639874983579,2026,[2026],ea5cbac81b35a516
sub-03,3,"[0, 9, 10, 19, 26, 27, 29, 34]","[0, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 1, 0, 0, 0, 0]","[[0.7376848459243774, 0.2623152434825897], [0.430868536233902, 0.5691314935684204], [0.7439501285552979, 0.2560499310493469], [0.458279013633728, 0.5417209267616272], [0.6204637885093689, 0.3795361816883087], [0.5677071809768677, 0.4322928190231323], [0.7222257256507874, 0.27777424454689026], [0.7657343745231628, 0.23426565527915955]]",0.75,0.75,"[[4, 0], [2, 2]]","[6, 2]",{'collapsed': False},16932,15941,13.20913083315827,2026,[2026],39c12103adbfcf72
sub-03,4,"[14, 18, 25, 30, 31, 32, 35, 37]","[0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 0]","[[0.49893420934677124, 0.5010658502578735], [0.0719313770532608, 0.9280686378479004], [0.06829588860273361, 0.9317041039466858], [0.09071280062198639, 0.90928715467453], [0.7160291075706482, 0.2839709222316742], [0.6156730651855469, 0.38432690501213074], [0.6623843312263489, 0.3376156687736511], [0.8265766501426697, 0.17342333495616913]]",0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",{'collapsed': False},16932,15941,13.201850291108713,2026,[2026],3428be8934373007
sub-04,0,"[3, 7, 11, 13, 16, 20, 24, 38]","[1, 1, 1, 1, 0, 0, 0, 0]","[1, 0, 1, 1, 1, 1, 1, 1]","[[0.30106204748153687, 0.6989379525184631], [0.7234441637992859, 0.2765558362007141], [0.3275003731250763, 0.6724995970726013], [0.46065908670425415, 0.5393408536911011], [0.44223111867904663, 0.5577688813209534], [0.47461816668510437, 0.5253818035125732], [0.4627099633216858, 0.5372900366783142], [0.25859951972961426, 0.741400420665741]]",0.375,0.375,"[[0, 4], [1, 3]]","[1, 7]",{'collapsed': False},16932,15941,13.203680999809876,2026,[2026],a7bcc59841abbf2c
sub-04,1,"[5, 8, 15, 22, 23, 28, 36, 39]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 1, 0, 1, 1]","[[0.27394869923591614, 0.7260513305664062], [0.5236731171607971, 0.4763268232345581], [0.6196995973587036, 0.3803004324436188], [0.6227427124977112, 0.3772572875022888], [0.28156718611717224, 0.7184328436851501], [0.777931809425354, 0.22206826508045197], [0.3498953878879547, 0.6501046419143677], [0.4645322859287262, 0.5354677438735962]]",0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",{'collapsed': False},16932,15941,13.191335249925032,2026,[2026],1c53c1a29fc322e7
