subject_id,fold_id,test_indices,true_labels,predictions,probabilities,accuracy,balanced_accuracy,confusion_matrix,prediction_histogram,collapse_diagnostics,parameter_count,trainable_parameter_count,training_seconds,seed,seed_ensemble,split_hash
sub-01,0,"[3, 7, 11, 13, 16, 20, 24, 38]","[1, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 1, 0, 1, 0]","[[0.7065480947494507, 0.29345187544822693], [0.22015056014060974, 0.7798494100570679], [0.19324928522109985, 0.8067506551742554], [0.5961459279060364, 0.40385401248931885], [0.46633535623550415, 0.5336647033691406], [0.5803502798080444, 0.41964972019195557], [0.032990552484989166, 0.9670094847679138], [0.5136668086051941, 0.4863331913948059]]",0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",{'collapsed': False},49762,49762,3.5838651668746024,2026,[2026],a7bcc59841abbf2c
sub-01,1,"[5, 8, 15, 22, 23, 28, 36, 39]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.2248067557811737, 0.7751932740211487], [0.2711133360862732, 0.7288866639137268], [0.17668545246124268, 0.8233145475387573], [0.11128886789083481, 0.8887110948562622], [0.13422279059886932, 0.8657771944999695], [0.08157975226640701, 0.9184202551841736], [0.014085354283452034, 0.9859145879745483], [0.08958382159471512, 0.9104161262512207]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},49762,49762,3.373723292024806,2026,[2026],1c53c1a29fc322e7
sub-01,2,"[1, 2, 4, 6, 12, 17, 21, 33]","[1, 0, 0, 0, 0, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 0]","[[0.5213238596916199, 0.47867611050605774], [0.034226641058921814, 0.965773344039917], [0.6226365566253662, 0.3773634135723114], [0.7498910427093506, 0.250108927488327], [0.6257184147834778, 0.3742816150188446], [0.9164027571678162, 0.08359727263450623], [0.19387134909629822, 0.8061286807060242], [0.7999330163002014, 0.200066938996315]]",0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",{'collapsed': False},49762,49762,3.361568875145167,2026,[2026],ea5cbac81b35a516
sub-01,3,"[0, 9, 10, 19, 26, 27, 29, 34]","[0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 0, 1, 1]","[[0.03848877176642418, 0.9615112543106079], [0.6993221640586853, 0.3006778061389923], [0.7011754512786865, 0.2988245189189911], [0.45595961809158325, 0.544040322303772], [0.7409936785697937, 0.2590063214302063], [0.6897372007369995, 0.3102627694606781], [0.48398566246032715, 0.5160143375396729], [0.4805256128311157, 0.5194743871688843]]",0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",{'collapsed': False},49762,49762,3.36736166710034,2026,[2026],39c12103adbfcf72
sub-01,4,"[14, 18, 25, 30, 31, 32, 35, 37]","[0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 0]","[[0.09377677738666534, 0.9062231779098511], [0.11768808960914612, 0.8823119401931763], [0.35693424940109253, 0.6430658102035522], [0.9080522060394287, 0.09194779396057129], [0.6808302998542786, 0.3191697597503662], [0.440506249666214, 0.5594937801361084], [0.8893886804580688, 0.11061137914657593], [0.6556897163391113, 0.3443102538585663]]",0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",{'collapsed': False},49762,49762,3.358288290910423,2026,[2026],3428be8934373007
sub-03,0,"[3, 7, 11, 13, 16, 20, 24, 38]","[1, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 0]","[[0.5287944078445435, 0.47120562195777893], [0.15388743579387665, 0.8461125493049622], [0.4688137471675873, 0.5311862230300903], [0.20877987146377563, 0.7912200689315796], [0.4883787930011749, 0.5116211771965027], [0.4643917679786682, 0.5356082320213318], [0.13567622005939484, 0.8643237948417664], [0.6147462725639343, 0.38525375723838806]]",0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",{'collapsed': False},49762,49762,3.366171083180234,2026,[2026],a7bcc59841abbf2c
sub-03,1,"[5, 8, 15, 22, 23, 28, 36, 39]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.23743821680545807, 0.7625617384910583], [0.4601367115974426, 0.5398633480072021], [0.019608529284596443, 0.9803915023803711], [0.3446550667285919, 0.6553449630737305], [0.1475200057029724, 0.8524799942970276], [0.29277756810188293, 0.7072224617004395], [0.36254432797431946, 0.6374556422233582], [0.14337970316410065, 0.8566202521324158]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},49762,49762,3.3480172080453485,2026,[2026],1c53c1a29fc322e7
sub-03,2,"[1, 2, 4, 6, 12, 17, 21, 33]","[1, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 1, 0, 1]","[[0.8512735366821289, 0.14872649312019348], [0.719687819480896, 0.28031212091445923], [0.03140301629900932, 0.9685969948768616], [0.8588425517082214, 0.14115746319293976], [0.7222780585289001, 0.27772194147109985], [0.02307143434882164, 0.9769285321235657], [0.7293636202812195, 0.2706364095211029], [0.49019917845726013, 0.5098007917404175]]",0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",{'collapsed': False},49762,49762,3.3459212919697165,2026,[2026],ea5cbac81b35a516
sub-03,3,"[0, 9, 10, 19, 26, 27, 29, 34]","[0, 1, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 1, 1, 0, 1, 0]","[[0.7560826539993286, 0.243917316198349], [0.6609762907028198, 0.3390237092971802], [0.3303558826446533, 0.6696440577507019], [0.3016284704208374, 0.6983715295791626], [0.17194558680057526, 0.8280544281005859], [0.6897707581520081, 0.31022921204566956], [0.11082372069358826, 0.8891762495040894], [0.9194979071617126, 0.08050205558538437]]",0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",{'collapsed': False},49762,49762,3.3748463329393417,2026,[2026],39c12103adbfcf72
sub-03,4,"[14, 18, 25, 30, 31, 32, 35, 37]","[0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 0, 1, 0]","[[0.2905515730381012, 0.7094483971595764], [0.0482424795627594, 0.9517574906349182], [0.07231487333774567, 0.9276851415634155], [0.6828966736793518, 0.3171032965183258], [0.8997592926025391, 0.10024072229862213], [0.919029176235199, 0.08097085356712341], [0.43872779607772827, 0.5612722039222717], [0.8888595700263977, 0.11114036291837692]]",0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",{'collapsed': False},49762,49762,3.4127775840461254,2026,[2026],3428be8934373007
