subject_id,mean_accuracy,mean_balanced_accuracy,std_balanced_accuracy,n_folds,n_collapsed_folds
1,0.5,0.5,0.0,5,5
2,0.5,0.5,0.0,5,5
3,0.5,0.5,0.0,5,5
4,0.5,0.5,0.0,5,5
5,0.5,0.5,0.0,5,5
6,0.5,0.5,0.0,5,5
7,0.5,0.5,0.0,5,5
8,0.5,0.5,0.0,5,5
9,0.5,0.5,0.0,5,5
10,0.5,0.5,0.0,5,5
11,0.5,0.5,0.0,5,5
12,0.5,0.5,0.0,5,5
13,0.5,0.5,0.0,5,5
14,0.5,0.5,0.0,5,5
15,0.5,0.5,0.0,5,5
16,0.5,0.5,0.0,5,5
17,0.5,0.5,0.0,5,5
18,0.5,0.5,0.0,5,5
19,0.5,0.5,0.0,5,5
20,0.5,0.5,0.0,5,5
21,0.5,0.5,0.0,5,5
22,0.5,0.5,0.0,5,5
23,0.5,0.5,0.0,5,5
24,0.5,0.5,0.0,5,5
25,0.5,0.5,0.0,5,5
26,0.5,0.5,0.0,5,5
27,0.5,0.5,0.0,5,5
28,0.5,0.5,0.0,5,5
29,0.5,0.5,0.0,5,5
30,0.5,0.5,0.0,5,5
31,0.5,0.5,0.0,5,5
32,0.5,0.5,0.0,5,5
33,0.5,0.5,0.0,5,5
34,0.5,0.5,0.0,5,5
35,0.5,0.5,0.0,5,5
36,0.5,0.5,0.0,5,5
37,0.5,0.5,0.0,5,5
38,0.5,0.5,0.0,5,5
39,0.5,0.5,0.0,5,5
40,0.5,0.5,0.0,5,5
41,0.5,0.5,0.0,5,5
42,0.5,0.5,0.0,5,5
43,0.5,0.5,0.0,5,5
44,0.5,0.5,0.0,5,5
45,0.5,0.5,0.0,5,5
46,0.5,0.5,0.0,5,5
47,0.5,0.5,0.0,5,5
48,0.5,0.5,0.0,5,5
49,0.5,0.5,0.0,5,5
50,0.5,0.5,0.0,5,5
