subject_id,fold_id,test_indices,true_labels,predictions,probabilities,accuracy,balanced_accuracy,confusion_matrix,prediction_histogram,collapse_diagnostics,parameter_count,trainable_parameter_count,training_seconds,seed,seed_ensemble,split_hash
sub-01,0,"[3, 7, 11, 13, 16, 20, 24, 38]","[1, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 1, 1]","[[0.5852966904640198, 0.4147033095359802], [0.2576123774051666, 0.742387592792511], [0.12397721409797668, 0.8760227560997009], [0.42803969979286194, 0.5719602704048157], [0.5331122279167175, 0.46688777208328247], [0.6108860969543457, 0.3891138732433319], [0.05812026187777519, 0.9418797492980957], [0.4307363033294678, 0.569263756275177]]",0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",{'collapsed': False},49762,49762,3.5259811670985073,2026,[2026],a7bcc59841abbf2c
sub-01,1,"[5, 8, 15, 22, 23, 28, 36, 39]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.33621907234191895, 0.6637808680534363], [0.2780652344226837, 0.7219347357749939], [0.2015712410211563, 0.7984287738800049], [0.15808671712875366, 0.8419133424758911], [0.23066852986812592, 0.7693314552307129], [0.1258702129125595, 0.8741298317909241], [0.028229745104908943, 0.9717702269554138], [0.21597489714622498, 0.7840251326560974]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},49762,49762,3.3409833749756217,2026,[2026],1c53c1a29fc322e7
sub-01,2,"[1, 2, 4, 6, 12, 17, 21, 33]","[1, 0, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 0, 0, 0, 1, 0]","[[0.4576888978481293, 0.5423110723495483], [0.0370253324508667, 0.9629746675491333], [0.6596075892448425, 0.34039241075515747], [0.7841601371765137, 0.21583981812000275], [0.65949547290802, 0.3405044972896576], [0.9254443645477295, 0.07455567270517349], [0.1880432814359665, 0.8119567036628723], [0.7423480153083801, 0.2576519846916199]]",0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",{'collapsed': False},49762,49762,3.3454479582142085,2026,[2026],ea5cbac81b35a516
sub-01,3,"[0, 9, 10, 19, 26, 27, 29, 34]","[0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 0, 1, 1]","[[0.0258556567132473, 0.9741443395614624], [0.7121719717979431, 0.2878280580043793], [0.6733154654502869, 0.32668447494506836], [0.46699950098991394, 0.5330004692077637], [0.7492004632949829, 0.2507995367050171], [0.5874110460281372, 0.4125889539718628], [0.46466317772865295, 0.5353369116783142], [0.3950299620628357, 0.6049700379371643]]",0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",{'collapsed': False},49762,49762,3.340409249998629,2026,[2026],39c12103adbfcf72
sub-01,4,"[14, 18, 25, 30, 31, 32, 35, 37]","[0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 0]","[[0.09102194011211395, 0.9089781045913696], [0.0925108790397644, 0.9074891209602356], [0.21314294636249542, 0.786857008934021], [0.7702013254165649, 0.22979861497879028], [0.47937992215156555, 0.5206201076507568], [0.5014201998710632, 0.4985797703266144], [0.7853512167930603, 0.21464881300926208], [0.5682077407836914, 0.4317921996116638]]",0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",{'collapsed': False},49762,49762,3.3332571249920875,2026,[2026],3428be8934373007
sub-03,0,"[3, 7, 11, 13, 16, 20, 24, 38]","[1, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 1, 1, 0]","[[0.5404595732688904, 0.4595404267311096], [0.1892540454864502, 0.810745894908905], [0.6085373163223267, 0.39146268367767334], [0.2954442501068115, 0.7045556902885437], [0.4213811159133911, 0.5786188840866089], [0.44842731952667236, 0.5515726804733276], [0.11320440471172333, 0.8867955803871155], [0.6068760752677917, 0.39312389492988586]]",0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",{'collapsed': False},49762,49762,3.3447922500781715,2026,[2026],a7bcc59841abbf2c
sub-03,1,"[5, 8, 15, 22, 23, 28, 36, 39]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[[0.21145275235176086, 0.7885472178459167], [0.388613224029541, 0.611386775970459], [0.026462111622095108, 0.9735378623008728], [0.3549484312534332, 0.6450515985488892], [0.22035439312458038, 0.7796456217765808], [0.39922383427619934, 0.6007761359214783], [0.19399480521678925, 0.8060051798820496], [0.09653497487306595, 0.9034650325775146]]",0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",{'collapsed': True},49762,49762,3.3194460838567466,2026,[2026],1c53c1a29fc322e7
sub-03,2,"[1, 2, 4, 6, 12, 17, 21, 33]","[1, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 1, 0, 0]","[[0.8371590971946716, 0.1628408581018448], [0.7520953416824341, 0.24790464341640472], [0.07141079008579254, 0.9285892844200134], [0.8819471597671509, 0.11805280297994614], [0.8126192092895508, 0.18738074600696564], [0.051426347345113754, 0.9485737085342407], [0.7876257300376892, 0.2123742252588272], [0.6843005418777466, 0.3156994581222534]]",0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",{'collapsed': False},49762,49762,3.3309165411628783,2026,[2026],ea5cbac81b35a516
sub-03,3,"[0, 9, 10, 19, 26, 27, 29, 34]","[0, 1, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 1, 1, 0, 1, 0]","[[0.7258187532424927, 0.2741812765598297], [0.6959832906723022, 0.30401673913002014], [0.42311838269233704, 0.5768816471099854], [0.24265959858894348, 0.7573403716087341], [0.17616787552833557, 0.8238321542739868], [0.7988232970237732, 0.2011767029762268], [0.12943699955940247, 0.8705630302429199], [0.9242684841156006, 0.07573147863149643]]",0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",{'collapsed': False},49762,49762,3.325959417037666,2026,[2026],39c12103adbfcf72
sub-03,4,"[14, 18, 25, 30, 31, 32, 35, 37]","[0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 0]","[[0.17343217134475708, 0.8265678286552429], [0.030311983078718185, 0.9696879982948303], [0.19471164047718048, 0.8052883148193359], [0.70277339220047, 0.29722657799720764], [0.950767457485199, 0.049232497811317444], [0.938317060470581, 0.061682913452386856], [0.6750953197479248, 0.3249046802520752], [0.9278268814086914, 0.07217316329479218]]",0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",{'collapsed': False},49762,49762,3.3240847080014646,2026,[2026],3428be8934373007
