subject_id,n_windows,class_counts,preprocessed_shape,resampled_samples_per_trial,crop_start_sample,crop_stop_sample,target_window_samples,effective_window_duration_s,source_unit,final_model_unit,demean_mode,reference_mode,reference_timing,resample,effective_sfreq,filter_enabled,filter_low,filter_high,filter_method,mi_window_start_s,eog_correction,artifact_clip_mode,reject_bad_trials,normalization_mode,artifact_clip_applied,artifact_clip_percentile,artifact_clip_threshold,artifact_clip_changed_values,n_trials_before_reject,n_trials_after_reject,n_rejected_trials,rejection_skipped,pipeline_plan,runtime_steps
1,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,trial_mean,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,percentile,False,train_global_zscore,True,99.5,138.5096272246045,23200,40,40,0,False,"['[ON] source::select_eeg_channels | - select Liu EEG channels, drop CPz reference, EOG, and marker before model input', '[ON] source::demean | mode=trial_mean | baseline_window_s=[0.0, 2.0]', '[off] source::detrend | mode=none', '[off] source::eog_correction | mode=none', '[ON] source::artifact_clipping | mode=percentile | percentile=99.5', '[ON] mne_raw::reference | timing=before_resample_filter | mode=average', '[ON] mne_raw::resample | sfreq=128', '[ON] mne_raw::bandpass_filter | l_freq=0.5 | h_freq=40.0 | method=fir | phase=zero | fir_design=firwin', '[off] mne_raw::notch_filter | timing=after_bandpass', '[ON] window::crop_fixed_mi_window | start_s=2.0 | target_window_samples=537', '[off] window::bad_trial_rejection', '[ON] split::fold_safe_normalization | mode=train_global_zscore']","['select 29 EEG channels; drop CPz source reference, EOG, and marker', 'source demean: subtract trial/channel mean over time', 'source detrend skipped', 'EOG correction skipped', 'source artifact clipping: percentile 99.5% -> ±138.5 microvolts | changed_values=23200', 'convert source microvolts to MNE volts', 'average reference at before resample/filter', 'resample to 128 Hz', 'FIR bandpass 0.5–40.0 Hz | phase=zero | fir_design=firwin', 'convert MNE volts to model microvolts', 'crop fixed window samples [256:793]', 'bad-trial rejection skipped']"
2,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,trial_mean,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,percentile,False,train_global_zscore,True,99.5,263.29477561798296,23200,40,40,0,False,"['[ON] source::select_eeg_channels | - select Liu EEG channels, drop CPz reference, EOG, and marker before model input', '[ON] source::demean | mode=trial_mean | baseline_window_s=[0.0, 2.0]', '[off] source::detrend | mode=none', '[off] source::eog_correction | mode=none', '[ON] source::artifact_clipping | mode=percentile | percentile=99.5', '[ON] mne_raw::reference | timing=before_resample_filter | mode=average', '[ON] mne_raw::resample | sfreq=128', '[ON] mne_raw::bandpass_filter | l_freq=0.5 | h_freq=40.0 | method=fir | phase=zero | fir_design=firwin', '[off] mne_raw::notch_filter | timing=after_bandpass', '[ON] window::crop_fixed_mi_window | start_s=2.0 | target_window_samples=537', '[off] window::bad_trial_rejection', '[ON] split::fold_safe_normalization | mode=train_global_zscore']","['select 29 EEG channels; drop CPz source reference, EOG, and marker', 'source demean: subtract trial/channel mean over time', 'source detrend skipped', 'EOG correction skipped', 'source artifact clipping: percentile 99.5% -> ±263.3 microvolts | changed_values=23200', 'convert source microvolts to MNE volts', 'average reference at before resample/filter', 'resample to 128 Hz', 'FIR bandpass 0.5–40.0 Hz | phase=zero | fir_design=firwin', 'convert MNE volts to model microvolts', 'crop fixed window samples [256:793]', 'bad-trial rejection skipped']"
3,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,trial_mean,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,percentile,False,train_global_zscore,True,99.5,576.9668145586619,23200,40,40,0,False,"['[ON] source::select_eeg_channels | - select Liu EEG channels, drop CPz reference, EOG, and marker before model input', '[ON] source::demean | mode=trial_mean | baseline_window_s=[0.0, 2.0]', '[off] source::detrend | mode=none', '[off] source::eog_correction | mode=none', '[ON] source::artifact_clipping | mode=percentile | percentile=99.5', '[ON] mne_raw::reference | timing=before_resample_filter | mode=average', '[ON] mne_raw::resample | sfreq=128', '[ON] mne_raw::bandpass_filter | l_freq=0.5 | h_freq=40.0 | method=fir | phase=zero | fir_design=firwin', '[off] mne_raw::notch_filter | timing=after_bandpass', '[ON] window::crop_fixed_mi_window | start_s=2.0 | target_window_samples=537', '[off] window::bad_trial_rejection', '[ON] split::fold_safe_normalization | mode=train_global_zscore']","['select 29 EEG channels; drop CPz source reference, EOG, and marker', 'source demean: subtract trial/channel mean over time', 'source detrend skipped', 'EOG correction skipped', 'source artifact clipping: percentile 99.5% -> ±577 microvolts | changed_values=23200', 'convert source microvolts to MNE volts', 'average reference at before resample/filter', 'resample to 128 Hz', 'FIR bandpass 0.5–40.0 Hz | phase=zero | fir_design=firwin', 'convert MNE volts to model microvolts', 'crop fixed window samples [256:793]', 'bad-trial rejection skipped']"
4,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,trial_mean,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,percentile,False,train_global_zscore,True,99.5,231.81335086199297,23200,40,40,0,False,"['[ON] source::select_eeg_channels | - select Liu EEG channels, drop CPz reference, EOG, and marker before model input', '[ON] source::demean | mode=trial_mean | baseline_window_s=[0.0, 2.0]', '[off] source::detrend | mode=none', '[off] source::eog_correction | mode=none', '[ON] source::artifact_clipping | mode=percentile | percentile=99.5', '[ON] mne_raw::reference | timing=before_resample_filter | mode=average', '[ON] mne_raw::resample | sfreq=128', '[ON] mne_raw::bandpass_filter | l_freq=0.5 | h_freq=40.0 | method=fir | phase=zero | fir_design=firwin', '[off] mne_raw::notch_filter | timing=after_bandpass', '[ON] window::crop_fixed_mi_window | start_s=2.0 | target_window_samples=537', '[off] window::bad_trial_rejection', '[ON] split::fold_safe_normalization | mode=train_global_zscore']","['select 29 EEG channels; drop CPz source reference, EOG, and marker', 'source demean: subtract trial/channel mean over time', 'source detrend skipped', 'EOG correction skipped', 'source artifact clipping: percentile 99.5% -> ±231.8 microvolts | changed_values=23200', 'convert source microvolts to MNE volts', 'average reference at before resample/filter', 'resample to 128 Hz', 'FIR bandpass 0.5–40.0 Hz | phase=zero | fir_design=firwin', 'convert MNE volts to model microvolts', 'crop fixed window samples [256:793]', 'bad-trial rejection skipped']"
5,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,trial_mean,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,percentile,False,train_global_zscore,True,99.5,590.0787695118877,23200,40,40,0,False,"['[ON] source::select_eeg_channels | - select Liu EEG channels, drop CPz reference, EOG, and marker before model input', '[ON] source::demean | mode=trial_mean | baseline_window_s=[0.0, 2.0]', '[off] source::detrend | mode=none', '[off] source::eog_correction | mode=none', '[ON] source::artifact_clipping | mode=percentile | percentile=99.5', '[ON] mne_raw::reference | timing=before_resample_filter | mode=average', '[ON] mne_raw::resample | sfreq=128', '[ON] mne_raw::bandpass_filter | l_freq=0.5 | h_freq=40.0 | method=fir | phase=zero | fir_design=firwin', '[off] mne_raw::notch_filter | timing=after_bandpass', '[ON] window::crop_fixed_mi_window | start_s=2.0 | target_window_samples=537', '[off] window::bad_trial_rejection', '[ON] split::fold_safe_normalization | mode=train_global_zscore']","['select 29 EEG channels; drop CPz source reference, EOG, and marker', 'source demean: subtract trial/channel mean over time', 'source detrend skipped', 'EOG correction skipped', 'source artifact clipping: percentile 99.5% -> ±590.1 microvolts | changed_values=23200', 'convert source microvolts to MNE volts', 'average reference at before resample/filter', 'resample to 128 Hz', 'FIR bandpass 0.5–40.0 Hz | phase=zero | fir_design=firwin', 'convert MNE volts to model microvolts', 'crop fixed window samples [256:793]', 'bad-trial rejection skipped']"
6,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,trial_mean,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,percentile,False,train_global_zscore,True,99.5,777.967806635298,23200,40,40,0,False,"['[ON] source::select_eeg_channels | - select Liu EEG channels, drop CPz reference, EOG, and marker before model input', '[ON] source::demean | mode=trial_mean | baseline_window_s=[0.0, 2.0]', '[off] source::detrend | mode=none', '[off] source::eog_correction | mode=none', '[ON] source::artifact_clipping | mode=percentile | percentile=99.5', '[ON] mne_raw::reference | timing=before_resample_filter | mode=average', '[ON] mne_raw::resample | sfreq=128', '[ON] mne_raw::bandpass_filter | l_freq=0.5 | h_freq=40.0 | method=fir | phase=zero | fir_design=firwin', '[off] mne_raw::notch_filter | timing=after_bandpass', '[ON] window::crop_fixed_mi_window | start_s=2.0 | target_window_samples=537', '[off] window::bad_trial_rejection', '[ON] split::fold_safe_normalization | mode=train_global_zscore']","['select 29 EEG channels; drop CPz source reference, EOG, and marker', 'source demean: subtract trial/channel mean over time', 'source detrend skipped', 'EOG correction skipped', 'source artifact clipping: percentile 99.5% -> ±778 microvolts | changed_values=23200', 'convert source microvolts to MNE volts', 'average reference at before resample/filter', 'resample to 128 Hz', 'FIR bandpass 0.5–40.0 Hz | phase=zero | fir_design=firwin', 'convert MNE volts to model microvolts', 'crop fixed window samples [256:793]', 'bad-trial rejection skipped']"
7,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,trial_mean,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,percentile,False,train_global_zscore,True,99.5,171.16842086383875,23200,40,40,0,False,"['[ON] source::select_eeg_channels | - select Liu EEG channels, drop CPz reference, EOG, and marker before model input', '[ON] source::demean | mode=trial_mean | baseline_window_s=[0.0, 2.0]', '[off] source::detrend | mode=none', '[off] source::eog_correction | mode=none', '[ON] source::artifact_clipping | mode=percentile | percentile=99.5', '[ON] mne_raw::reference | timing=before_resample_filter | mode=average', '[ON] mne_raw::resample | sfreq=128', '[ON] mne_raw::bandpass_filter | l_freq=0.5 | h_freq=40.0 | method=fir | phase=zero | fir_design=firwin', '[off] mne_raw::notch_filter | timing=after_bandpass', '[ON] window::crop_fixed_mi_window | start_s=2.0 | target_window_samples=537', '[off] window::bad_trial_rejection', '[ON] split::fold_safe_normalization | mode=train_global_zscore']","['select 29 EEG channels; drop CPz source reference, EOG, and marker', 'source demean: subtract trial/channel mean over time', 'source detrend skipped', 'EOG correction skipped', 'source artifact clipping: percentile 99.5% -> ±171.2 microvolts | changed_values=23200', 'convert source microvolts to MNE volts', 'average reference at before resample/filter', 'resample to 128 Hz', 'FIR bandpass 0.5–40.0 Hz | phase=zero | fir_design=firwin', 'convert MNE volts to model microvolts', 'crop fixed window samples [256:793]', 'bad-trial rejection skipped']"
8,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,trial_mean,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,percentile,False,train_global_zscore,True,99.5,721.1631503038932,23200,40,40,0,False,"['[ON] source::select_eeg_channels | - select Liu EEG channels, drop CPz reference, EOG, and marker before model input', '[ON] source::demean | mode=trial_mean | baseline_window_s=[0.0, 2.0]', '[off] source::detrend | mode=none', '[off] source::eog_correction | mode=none', '[ON] source::artifact_clipping | mode=percentile | percentile=99.5', '[ON] mne_raw::reference | timing=before_resample_filter | mode=average', '[ON] mne_raw::resample | sfreq=128', '[ON] mne_raw::bandpass_filter | l_freq=0.5 | h_freq=40.0 | method=fir | phase=zero | fir_design=firwin', '[off] mne_raw::notch_filter | timing=after_bandpass', '[ON] window::crop_fixed_mi_window | start_s=2.0 | target_window_samples=537', '[off] window::bad_trial_rejection', '[ON] split::fold_safe_normalization | mode=train_global_zscore']","['select 29 EEG channels; drop CPz source reference, EOG, and marker', 'source demean: subtract trial/channel mean over time', 'source detrend skipped', 'EOG correction skipped', 'source artifact clipping: percentile 99.5% -> ±721.2 microvolts | changed_values=23200', 'convert source microvolts to MNE volts', 'average reference at before resample/filter', 'resample to 128 Hz', 'FIR bandpass 0.5–40.0 Hz | phase=zero | fir_design=firwin', 'convert MNE volts to model microvolts', 'crop fixed window samples [256:793]', 'bad-trial rejection skipped']"
9,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,trial_mean,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,percentile,False,train_global_zscore,True,99.5,122.99882696369019,23200,40,40,0,False,"['[ON] source::select_eeg_channels | - select Liu EEG channels, drop CPz reference, EOG, and marker before model input', '[ON] source::demean | mode=trial_mean | baseline_window_s=[0.0, 2.0]', '[off] source::detrend | mode=none', '[off] source::eog_correction | mode=none', '[ON] source::artifact_clipping | mode=percentile | percentile=99.5', '[ON] mne_raw::reference | timing=before_resample_filter | mode=average', '[ON] mne_raw::resample | sfreq=128', '[ON] mne_raw::bandpass_filter | l_freq=0.5 | h_freq=40.0 | method=fir | phase=zero | fir_design=firwin', '[off] mne_raw::notch_filter | timing=after_bandpass', '[ON] window::crop_fixed_mi_window | start_s=2.0 | target_window_samples=537', '[off] window::bad_trial_rejection', '[ON] split::fold_safe_normalization | mode=train_global_zscore']","['select 29 EEG channels; drop CPz source reference, EOG, and marker', 'source demean: subtract trial/channel mean over time', 'source detrend skipped', 'EOG correction skipped', 'source artifact clipping: percentile 99.5% -> ±123 microvolts | changed_values=23200', 'convert source microvolts to MNE volts', 'average reference at before resample/filter', 'resample to 128 Hz', 'FIR bandpass 0.5–40.0 Hz | phase=zero | fir_design=firwin', 'convert MNE volts to model microvolts', 'crop fixed window samples [256:793]', 'bad-trial rejection skipped']"
10,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,trial_mean,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,percentile,False,train_global_zscore,True,99.5,264.9725154422918,23200,40,40,0,False,"['[ON] source::select_eeg_channels | - select Liu EEG channels, drop CPz reference, EOG, and marker before model input', '[ON] source::demean | mode=trial_mean | baseline_window_s=[0.0, 2.0]', '[off] source::detrend | mode=none', '[off] source::eog_correction | mode=none', '[ON] source::artifact_clipping | mode=percentile | percentile=99.5', '[ON] mne_raw::reference | timing=before_resample_filter | mode=average', '[ON] mne_raw::resample | sfreq=128', '[ON] mne_raw::bandpass_filter | l_freq=0.5 | h_freq=40.0 | method=fir | phase=zero | fir_design=firwin', '[off] mne_raw::notch_filter | timing=after_bandpass', '[ON] window::crop_fixed_mi_window | start_s=2.0 | target_window_samples=537', '[off] window::bad_trial_rejection', '[ON] split::fold_safe_normalization | mode=train_global_zscore']","['select 29 EEG channels; drop CPz source reference, EOG, and marker', 'source demean: subtract trial/channel mean over time', 'source detrend skipped', 'EOG correction skipped', 'source artifact clipping: percentile 99.5% -> ±265 microvolts | changed_values=23200', 'convert source microvolts to MNE volts', 'average reference at before resample/filter', 'resample to 128 Hz', 'FIR bandpass 0.5–40.0 Hz | phase=zero | fir_design=firwin', 'convert MNE volts to model microvolts', 'crop fixed window samples [256:793]', 'bad-trial rejection skipped']"
