subject_id,n_windows,class_counts,preprocessed_shape,resampled_samples_per_trial,crop_start_sample,crop_stop_sample,target_window_samples,effective_window_duration_s,source_values_assumed,final_model_units,preprocessing_order
1,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
2,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
3,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
4,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
5,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
6,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
7,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
8,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
9,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
10,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
11,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
12,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
13,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
14,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
15,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
16,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
17,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
18,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
19,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
20,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
21,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
22,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
23,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
24,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
25,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
26,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
27,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
28,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
29,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
30,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,select_29_eeg_channels_drop_cpz_eog_marker -> source_microvolts_to_mne_volts -> set_eeg_reference_average -> resample -> bandpass_filter -> scale_volts_to_microvolts -> crop_fixed_window
