subject_id,path,rawdata_shape,label_values
1,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-01/sub-01_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
2,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-02/sub-02_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
3,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-03/sub-03_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
4,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-04/sub-04_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
5,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-05/sub-05_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
6,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-06/sub-06_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
7,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-07/sub-07_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
8,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-08/sub-08_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
9,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-09/sub-09_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
10,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-10/sub-10_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
11,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-11/sub-11_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
12,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-12/sub-12_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
13,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-13/sub-13_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
14,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-14/sub-14_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
15,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-15/sub-15_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
16,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-16/sub-16_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
17,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-17/sub-17_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
18,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/src/liu2024_figshare/sourcedata/sourcedata/sub-18/sub-18_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{1: 20, 2: 20}"
