subject_id,role
sub-01,target
sub-02,source
sub-03,target
sub-04,source
sub-05,source
sub-06,source
sub-07,target
sub-08,source
sub-09,source
sub-10,source
sub-11,source
sub-12,source
sub-13,source
sub-14,source
sub-15,source
sub-16,source
sub-17,source
sub-18,source
sub-19,source
sub-20,source
sub-21,source
sub-22,source
sub-23,source
sub-24,source
sub-25,source
sub-26,source
sub-27,source
sub-28,source
sub-29,source
sub-30,source
sub-31,source
sub-32,source
sub-33,source
sub-34,source
sub-35,source
sub-36,source
sub-37,source
sub-38,source
sub-39,source
sub-40,source
sub-41,source
sub-42,source
sub-43,source
sub-44,source
sub-45,source
sub-46,source
sub-47,source
sub-48,source
sub-49,source
sub-50,source
