subject_id,fold_id,test_indices,true_labels,predictions,probabilities,accuracy,balanced_accuracy,confusion_matrix,prediction_histogram,collapse_diagnostics,parameter_count,trainable_parameter_count,training_seconds,seed,source_subject_ids,checkpoint_signature,checkpoint_path,classifier_head,adaptation_mode,target_train_indices,target_normalizer_hash
sub-01,0,"[3, 7, 11, 13, 16, 20, 24, 38]","[1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 1, 1]","[[0.5944403409957886, 0.4055596590042114], [0.5520287752151489, 0.44797125458717346], [0.6708822250366211, 0.3291177749633789], [0.47855842113494873, 0.521441638469696], [0.40921303629875183, 0.590786874294281], [0.861382246017456, 0.13861776888370514], [0.48126912117004395, 0.518730878829956], [0.3611922860145569, 0.6388077139854431]]",0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",{'collapsed': False},49762,49762,4.440789374988526,2026,"['sub-02', 'sub-03', 'sub-04', 'sub-05', 'sub-06', 'sub-07', 'sub-08', 'sub-09', 'sub-10', 'sub-11', 'sub-12', 'sub-13', 'sub-14', 'sub-15', 'sub-16', 'sub-17', 'sub-18', 'sub-19', 'sub-20', 'sub-21', 'sub-22', 'sub-23', 'sub-24', 'sub-25', 'sub-26', 'sub-27', 'sub-28', 'sub-29', 'sub-30', 'sub-31', 'sub-32', 'sub-33', 'sub-34', 'sub-35', 'sub-36', 'sub-37', 'sub-38', 'sub-39', 'sub-40', 'sub-41', 'sub-42', 'sub-43', 'sub-44', 'sub-45', 'sub-46', 'sub-47', 'sub-48', 'sub-49', 'sub-50']",440708d674f4aa3e,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/440708d674f4aa3e.pt,final_layer.conv_classifier,full_finetune,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 14, 15, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39]",2724dc1310d91075
sub-01,1,"[5, 8, 15, 22, 23, 28, 36, 39]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[[0.39597007632255554, 0.6040298938751221], [0.48898690938949585, 0.5110130906105042], [0.35723763704299927, 0.6427623629570007], [0.5538339614868164, 0.44616612792015076], [0.46505022048950195, 0.534949779510498], [0.28794392943382263, 0.7120561599731445], [0.5016093254089355, 0.4983907639980316], [0.37442147731781006, 0.6255785226821899]]",0.75,0.75,"[[2, 2], [0, 4]]","[2, 6]",{'collapsed': False},49762,49762,4.1898565830197185,2026,"['sub-02', 'sub-03', 'sub-04', 'sub-05', 'sub-06', 'sub-07', 'sub-08', 'sub-09', 'sub-10', 'sub-11', 'sub-12', 'sub-13', 'sub-14', 'sub-15', 'sub-16', 'sub-17', 'sub-18', 'sub-19', 'sub-20', 'sub-21', 'sub-22', 'sub-23', 'sub-24', 'sub-25', 'sub-26', 'sub-27', 'sub-28', 'sub-29', 'sub-30', 'sub-31', 'sub-32', 'sub-33', 'sub-34', 'sub-35', 'sub-36', 'sub-37', 'sub-38', 'sub-39', 'sub-40', 'sub-41', 'sub-42', 'sub-43', 'sub-44', 'sub-45', 'sub-46', 'sub-47', 'sub-48', 'sub-49', 'sub-50']",440708d674f4aa3e,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/440708d674f4aa3e.pt,final_layer.conv_classifier,full_finetune,"[0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 37, 38]",7b62fb8b844556ed
sub-01,2,"[1, 2, 4, 6, 12, 17, 21, 33]","[1, 0, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 0, 0, 1, 0, 0]","[[0.41342058777809143, 0.5865793824195862], [0.353214293718338, 0.6467857360839844], [0.5365481376647949, 0.4634518623352051], [0.6720513105392456, 0.32794860005378723], [0.6850102543830872, 0.31498971581459045], [0.39044424891471863, 0.609555721282959], [0.507618248462677, 0.4923816919326782], [0.686522901058197, 0.31347715854644775]]",0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",{'collapsed': False},49762,49762,4.175893334206194,2026,"['sub-02', 'sub-03', 'sub-04', 'sub-05', 'sub-06', 'sub-07', 'sub-08', 'sub-09', 'sub-10', 'sub-11', 'sub-12', 'sub-13', 'sub-14', 'sub-15', 'sub-16', 'sub-17', 'sub-18', 'sub-19', 'sub-20', 'sub-21', 'sub-22', 'sub-23', 'sub-24', 'sub-25', 'sub-26', 'sub-27', 'sub-28', 'sub-29', 'sub-30', 'sub-31', 'sub-32', 'sub-33', 'sub-34', 'sub-35', 'sub-36', 'sub-37', 'sub-38', 'sub-39', 'sub-40', 'sub-41', 'sub-42', 'sub-43', 'sub-44', 'sub-45', 'sub-46', 'sub-47', 'sub-48', 'sub-49', 'sub-50']",440708d674f4aa3e,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/440708d674f4aa3e.pt,final_layer.conv_classifier,full_finetune,"[0, 3, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39]",5f1521c098fba1bb
sub-01,3,"[0, 9, 10, 19, 26, 27, 29, 34]","[0, 1, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1]","[[0.5347362160682678, 0.4652637541294098], [0.6714149117469788, 0.32858508825302124], [0.5304287075996399, 0.4695712625980377], [0.5037243366241455, 0.4962756931781769], [0.600363552570343, 0.399636447429657], [0.6783642172813416, 0.32163575291633606], [0.5131928324699402, 0.4868071675300598], [0.3980967700481415, 0.6019032001495361]]",0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",{'collapsed': False},49762,49762,4.187596207950264,2026,"['sub-02', 'sub-03', 'sub-04', 'sub-05', 'sub-06', 'sub-07', 'sub-08', 'sub-09', 'sub-10', 'sub-11', 'sub-12', 'sub-13', 'sub-14', 'sub-15', 'sub-16', 'sub-17', 'sub-18', 'sub-19', 'sub-20', 'sub-21', 'sub-22', 'sub-23', 'sub-24', 'sub-25', 'sub-26', 'sub-27', 'sub-28', 'sub-29', 'sub-30', 'sub-31', 'sub-32', 'sub-33', 'sub-34', 'sub-35', 'sub-36', 'sub-37', 'sub-38', 'sub-39', 'sub-40', 'sub-41', 'sub-42', 'sub-43', 'sub-44', 'sub-45', 'sub-46', 'sub-47', 'sub-48', 'sub-49', 'sub-50']",440708d674f4aa3e,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/440708d674f4aa3e.pt,final_layer.conv_classifier,full_finetune,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 28, 30, 31, 32, 33, 35, 36, 37, 38, 39]",f68e2a01b37c89a4
sub-01,4,"[14, 18, 25, 30, 31, 32, 35, 37]","[0, 0, 1, 0, 1, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0]","[[0.30975964665412903, 0.6902403235435486], [0.5289337038993835, 0.47106629610061646], [0.7867266535758972, 0.2132733315229416], [0.6758638024330139, 0.3241361975669861], [0.5059821009635925, 0.49401795864105225], [0.684945285320282, 0.31505468487739563], [0.8248146176338196, 0.1751853972673416], [0.5438007116317749, 0.4561992883682251]]",0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",{'collapsed': False},49762,49762,4.156030749902129,2026,"['sub-02', 'sub-03', 'sub-04', 'sub-05', 'sub-06', 'sub-07', 'sub-08', 'sub-09', 'sub-10', 'sub-11', 'sub-12', 'sub-13', 'sub-14', 'sub-15', 'sub-16', 'sub-17', 'sub-18', 'sub-19', 'sub-20', 'sub-21', 'sub-22', 'sub-23', 'sub-24', 'sub-25', 'sub-26', 'sub-27', 'sub-28', 'sub-29', 'sub-30', 'sub-31', 'sub-32', 'sub-33', 'sub-34', 'sub-35', 'sub-36', 'sub-37', 'sub-38', 'sub-39', 'sub-40', 'sub-41', 'sub-42', 'sub-43', 'sub-44', 'sub-45', 'sub-46', 'sub-47', 'sub-48', 'sub-49', 'sub-50']",440708d674f4aa3e,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/440708d674f4aa3e.pt,final_layer.conv_classifier,full_finetune,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 33, 34, 36, 38, 39]",4998cc2b930e55a0
sub-03,0,"[3, 7, 11, 13, 16, 20, 24, 38]","[1, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 1, 1, 0]","[[0.7216361165046692, 0.2783638834953308], [0.4555142819881439, 0.5444856882095337], [0.7614446878433228, 0.23855528235435486], [0.5838947296142578, 0.4161052703857422], [0.4355009198188782, 0.564499020576477], [0.3197352886199951, 0.6802647113800049], [0.392121285200119, 0.6078788042068481], [0.5454463958740234, 0.4545535445213318]]",0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",{'collapsed': False},49762,49762,4.177770665846765,2026,"['sub-01', 'sub-02', 'sub-04', 'sub-05', 'sub-06', 'sub-07', 'sub-08', 'sub-09', 'sub-10', 'sub-11', 'sub-12', 'sub-13', 'sub-14', 'sub-15', 'sub-16', 'sub-17', 'sub-18', 'sub-19', 'sub-20', 'sub-21', 'sub-22', 'sub-23', 'sub-24', 'sub-25', 'sub-26', 'sub-27', 'sub-28', 'sub-29', 'sub-30', 'sub-31', 'sub-32', 'sub-33', 'sub-34', 'sub-35', 'sub-36', 'sub-37', 'sub-38', 'sub-39', 'sub-40', 'sub-41', 'sub-42', 'sub-43', 'sub-44', 'sub-45', 'sub-46', 'sub-47', 'sub-48', 'sub-49', 'sub-50']",068527bb7fdb0e76,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/068527bb7fdb0e76.pt,final_layer.conv_classifier,full_finetune,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 14, 15, 17, 18, 19, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39]",173600f9f78370bd
sub-03,1,"[5, 8, 15, 22, 23, 28, 36, 39]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 0, 1, 0, 1, 1, 0, 1]","[[0.44996312260627747, 0.5500368475914001], [0.5815462470054626, 0.41845372319221497], [0.46217408776283264, 0.537825882434845], [0.5718708634376526, 0.428129106760025], [0.4988933801651001, 0.5011065602302551], [0.4585464298725128, 0.5414535403251648], [0.7131616473197937, 0.2868383526802063], [0.4852786958217621, 0.5147212743759155]]",0.875,0.875,"[[3, 1], [0, 4]]","[3, 5]",{'collapsed': False},49762,49762,4.149927749997005,2026,"['sub-01', 'sub-02', 'sub-04', 'sub-05', 'sub-06', 'sub-07', 'sub-08', 'sub-09', 'sub-10', 'sub-11', 'sub-12', 'sub-13', 'sub-14', 'sub-15', 'sub-16', 'sub-17', 'sub-18', 'sub-19', 'sub-20', 'sub-21', 'sub-22', 'sub-23', 'sub-24', 'sub-25', 'sub-26', 'sub-27', 'sub-28', 'sub-29', 'sub-30', 'sub-31', 'sub-32', 'sub-33', 'sub-34', 'sub-35', 'sub-36', 'sub-37', 'sub-38', 'sub-39', 'sub-40', 'sub-41', 'sub-42', 'sub-43', 'sub-44', 'sub-45', 'sub-46', 'sub-47', 'sub-48', 'sub-49', 'sub-50']",068527bb7fdb0e76,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/068527bb7fdb0e76.pt,final_layer.conv_classifier,full_finetune,"[0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 37, 38]",ecc0061dcc00df5a
sub-03,2,"[1, 2, 4, 6, 12, 17, 21, 33]","[1, 0, 0, 0, 0, 1, 1, 1]","[0, 1, 1, 0, 0, 0, 0, 0]","[[0.5074196457862854, 0.4925803542137146], [0.4761750400066376, 0.52382493019104], [0.34546634554862976, 0.6545336246490479], [0.5576080083847046, 0.442391961812973], [0.5171337127685547, 0.4828663170337677], [0.527613639831543, 0.47238633036613464], [0.5350860357284546, 0.4649139940738678], [0.5499798655509949, 0.4500201344490051]]",0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",{'collapsed': False},49762,49762,4.146337707992643,2026,"['sub-01', 'sub-02', 'sub-04', 'sub-05', 'sub-06', 'sub-07', 'sub-08', 'sub-09', 'sub-10', 'sub-11', 'sub-12', 'sub-13', 'sub-14', 'sub-15', 'sub-16', 'sub-17', 'sub-18', 'sub-19', 'sub-20', 'sub-21', 'sub-22', 'sub-23', 'sub-24', 'sub-25', 'sub-26', 'sub-27', 'sub-28', 'sub-29', 'sub-30', 'sub-31', 'sub-32', 'sub-33', 'sub-34', 'sub-35', 'sub-36', 'sub-37', 'sub-38', 'sub-39', 'sub-40', 'sub-41', 'sub-42', 'sub-43', 'sub-44', 'sub-45', 'sub-46', 'sub-47', 'sub-48', 'sub-49', 'sub-50']",068527bb7fdb0e76,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/068527bb7fdb0e76.pt,final_layer.conv_classifier,full_finetune,"[0, 3, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39]",87eef924d4dc7afa
sub-03,3,"[0, 9, 10, 19, 26, 27, 29, 34]","[0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 1, 0]","[[0.412533700466156, 0.5874663591384888], [0.7151145339012146, 0.2848854660987854], [0.37777242064476013, 0.622227668762207], [0.5680650472640991, 0.4319349527359009], [0.4738224744796753, 0.5261775851249695], [0.5895587205886841, 0.4104413092136383], [0.4841570258140564, 0.5158430337905884], [0.5453816652297974, 0.4546183943748474]]",0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",{'collapsed': False},49762,49762,4.190088749863207,2026,"['sub-01', 'sub-02', 'sub-04', 'sub-05', 'sub-06', 'sub-07', 'sub-08', 'sub-09', 'sub-10', 'sub-11', 'sub-12', 'sub-13', 'sub-14', 'sub-15', 'sub-16', 'sub-17', 'sub-18', 'sub-19', 'sub-20', 'sub-21', 'sub-22', 'sub-23', 'sub-24', 'sub-25', 'sub-26', 'sub-27', 'sub-28', 'sub-29', 'sub-30', 'sub-31', 'sub-32', 'sub-33', 'sub-34', 'sub-35', 'sub-36', 'sub-37', 'sub-38', 'sub-39', 'sub-40', 'sub-41', 'sub-42', 'sub-43', 'sub-44', 'sub-45', 'sub-46', 'sub-47', 'sub-48', 'sub-49', 'sub-50']",068527bb7fdb0e76,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/068527bb7fdb0e76.pt,final_layer.conv_classifier,full_finetune,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 28, 30, 31, 32, 33, 35, 36, 37, 38, 39]",5c3c1c479534b14f
sub-03,4,"[14, 18, 25, 30, 31, 32, 35, 37]","[0, 0, 1, 0, 1, 0, 1, 1]","[1, 0, 0, 0, 1, 1, 0, 0]","[[0.4693678617477417, 0.5306320786476135], [0.5130886435508728, 0.4869113266468048], [0.5679854154586792, 0.4320145845413208], [0.6534059047698975, 0.34659409523010254], [0.4566861689090729, 0.5433138608932495], [0.21698859333992004, 0.7830114364624023], [0.5938311815261841, 0.40616878867149353], [0.5168417692184448, 0.4831582009792328]]",0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",{'collapsed': False},49762,49762,4.151108917081729,2026,"['sub-01', 'sub-02', 'sub-04', 'sub-05', 'sub-06', 'sub-07', 'sub-08', 'sub-09', 'sub-10', 'sub-11', 'sub-12', 'sub-13', 'sub-14', 'sub-15', 'sub-16', 'sub-17', 'sub-18', 'sub-19', 'sub-20', 'sub-21', 'sub-22', 'sub-23', 'sub-24', 'sub-25', 'sub-26', 'sub-27', 'sub-28', 'sub-29', 'sub-30', 'sub-31', 'sub-32', 'sub-33', 'sub-34', 'sub-35', 'sub-36', 'sub-37', 'sub-38', 'sub-39', 'sub-40', 'sub-41', 'sub-42', 'sub-43', 'sub-44', 'sub-45', 'sub-46', 'sub-47', 'sub-48', 'sub-49', 'sub-50']",068527bb7fdb0e76,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/artifacts/checkpoint_cache/compact-mi-loso/068527bb7fdb0e76.pt,final_layer.conv_classifier,full_finetune,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 33, 34, 36, 38, 39]",a1018657a0d41062
