subject,session,run,sfreq,n_times,duration_s,n_channels,ch_type_counts,n_annotations,annotation_descriptions,first_time,meas_date,line_freq,highpass,lowpass
1,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:12+00:00,,0.0,250.0
2,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:15+00:00,,0.0,250.0
3,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:18+00:00,,0.0,250.0
4,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:21+00:00,,0.0,250.0
5,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:23+00:00,,0.0,250.0
6,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:26+00:00,,0.0,250.0
7,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:29+00:00,,0.0,250.0
8,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:31+00:00,,0.0,250.0
9,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:35+00:00,,0.0,250.0
10,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:38+00:00,,0.0,250.0
11,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:41+00:00,,0.0,250.0
12,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:43+00:00,,0.0,250.0
13,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:46+00:00,,0.0,250.0
14,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:48+00:00,,0.0,250.0
15,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:51+00:00,,0.0,250.0
16,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:54+00:00,,0.0,250.0
17,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:56+00:00,,0.0,250.0
18,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:58:59+00:00,,0.0,250.0
19,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:02+00:00,,0.0,250.0
20,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:05+00:00,,0.0,250.0
21,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:08+00:00,,0.0,250.0
22,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:10+00:00,,0.0,250.0
23,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:12+00:00,,0.0,250.0
24,0,0,500.0,160000,320.0,32,"{'eeg': 29, 'eog': 2, 'stim': 1}",39,"['left_hand', 'right_hand']",0.0,2022-12-01 18:59:15+00:00,,0.0,250.0
