subject,session,run,event_index,sample,previous_value,event_code
1,0,0,0,2003,0,1
1,0,0,1,4005,0,2
1,0,0,2,5000,0,1
1,0,0,3,6002,0,2
1,0,0,4,8003,0,1
1,0,0,5,9000,0,2
1,0,0,6,10002,0,1
1,0,0,7,12002,0,2
1,0,0,8,13000,0,1
1,0,0,9,14003,0,2
1,0,0,10,16004,0,1
1,0,0,11,17000,0,2
1,0,0,12,18003,0,1
1,0,0,13,20005,0,2
1,0,0,14,21000,0,1
1,0,0,15,22003,0,2
1,0,0,16,24005,0,1
1,0,0,17,25000,0,2
1,0,0,18,26003,0,1
1,0,0,19,28003,0,2
2,0,0,0,2005,0,1
2,0,0,1,4006,0,2
2,0,0,2,5000,0,1
2,0,0,3,6002,0,2
2,0,0,4,8004,0,1
2,0,0,5,9000,0,2
2,0,0,6,10003,0,1
2,0,0,7,12003,0,2
2,0,0,8,13000,0,1
2,0,0,9,14003,0,2
2,0,0,10,16005,0,1
2,0,0,11,17000,0,2
2,0,0,12,18003,0,1
2,0,0,13,20003,0,2
2,0,0,14,21000,0,1
2,0,0,15,22003,0,2
2,0,0,16,24005,0,1
2,0,0,17,25000,0,2
2,0,0,18,26003,0,1
2,0,0,19,28003,0,2
3,0,0,0,2008,0,1
3,0,0,1,4009,0,2
3,0,0,2,5000,0,1
3,0,0,3,6003,0,2
3,0,0,4,8004,0,1
3,0,0,5,9000,0,2
3,0,0,6,10003,0,1
3,0,0,7,12004,0,2
3,0,0,8,13000,0,1
3,0,0,9,14003,0,2
3,0,0,10,16005,0,1
3,0,0,11,17000,0,2
3,0,0,12,18003,0,1
3,0,0,13,20003,0,2
3,0,0,14,21000,0,1
3,0,0,15,22003,0,2
3,0,0,16,24003,0,1
3,0,0,17,25000,0,2
3,0,0,18,26004,0,1
3,0,0,19,28006,0,2
4,0,0,0,2008,0,1
4,0,0,1,4009,0,2
4,0,0,2,5000,0,1
4,0,0,3,6010,0,2
4,0,0,4,8011,0,1
4,0,0,5,9000,0,2
4,0,0,6,10010,0,1
4,0,0,7,12010,0,2
4,0,0,8,13000,0,1
4,0,0,9,14010,0,2
4,0,0,10,16011,0,1
4,0,0,11,17000,0,2
4,0,0,12,18010,0,1
4,0,0,13,20010,0,2
4,0,0,14,21000,0,1
4,0,0,15,22010,0,2
4,0,0,16,24011,0,1
4,0,0,17,25000,0,2
4,0,0,18,26010,0,1
4,0,0,19,28010,0,2
5,0,0,0,2008,0,1
5,0,0,1,4008,0,2
5,0,0,2,5000,0,1
5,0,0,3,6010,0,2
5,0,0,4,8012,0,1
5,0,0,5,9000,0,2
5,0,0,6,10010,0,1
5,0,0,7,12012,0,2
5,0,0,8,13000,0,1
5,0,0,9,14010,0,2
5,0,0,10,16010,0,1
5,0,0,11,17000,0,2
5,0,0,12,18010,0,1
5,0,0,13,20011,0,2
5,0,0,14,21000,0,1
5,0,0,15,22010,0,2
5,0,0,16,24011,0,1
5,0,0,17,25000,0,2
5,0,0,18,26010,0,1
5,0,0,19,28011,0,2
6,0,0,0,2005,0,1
6,0,0,1,4006,0,2
6,0,0,2,5000,0,1
6,0,0,3,6356,0,2
6,0,0,4,8358,0,1
6,0,0,5,9000,0,2
6,0,0,6,10446,0,1
6,0,0,7,12448,0,2
6,0,0,8,13000,0,1
6,0,0,9,14424,0,2
6,0,0,10,16426,0,1
6,0,0,11,17000,0,2
6,0,0,12,18466,0,1
6,0,0,13,20468,0,2
6,0,0,14,21000,0,1
6,0,0,15,22410,0,2
6,0,0,16,24410,0,1
6,0,0,17,25000,0,2
6,0,0,18,26412,0,1
6,0,0,19,28413,0,2
7,0,0,0,2007,0,1
7,0,0,1,4009,0,2
7,0,0,2,5000,0,1
7,0,0,3,6010,0,2
7,0,0,4,8012,0,1
7,0,0,5,9000,0,2
7,0,0,6,10010,0,1
7,0,0,7,12012,0,2
7,0,0,8,13000,0,1
7,0,0,9,14010,0,2
7,0,0,10,16010,0,1
7,0,0,11,17000,0,2
7,0,0,12,18010,0,1
7,0,0,13,20011,0,2
7,0,0,14,21000,0,1
7,0,0,15,22010,0,2
7,0,0,16,24012,0,1
7,0,0,17,25000,0,2
7,0,0,18,26010,0,1
7,0,0,19,28011,0,2
8,0,0,0,2005,0,1
8,0,0,1,4007,0,2
8,0,0,2,5000,0,1
8,0,0,3,6003,0,2
8,0,0,4,8004,0,1
8,0,0,5,9000,0,2
8,0,0,6,10003,0,1
8,0,0,7,12004,0,2
8,0,0,8,13000,0,1
8,0,0,9,14003,0,2
8,0,0,10,16003,0,1
8,0,0,11,17000,0,2
8,0,0,12,18003,0,1
8,0,0,13,20003,0,2
8,0,0,14,21000,0,1
8,0,0,15,22003,0,2
8,0,0,16,24003,0,1
8,0,0,17,25000,0,2
8,0,0,18,26003,0,1
8,0,0,19,28003,0,2
9,0,0,0,2007,0,1
9,0,0,1,4008,0,2
9,0,0,2,5000,0,1
9,0,0,3,6003,0,2
9,0,0,4,8004,0,1
9,0,0,5,9000,0,2
9,0,0,6,10003,0,1
9,0,0,7,12004,0,2
9,0,0,8,13000,0,1
9,0,0,9,14003,0,2
9,0,0,10,16004,0,1
9,0,0,11,17000,0,2
9,0,0,12,18003,0,1
9,0,0,13,20003,0,2
9,0,0,14,21000,0,1
9,0,0,15,22003,0,2
9,0,0,16,24003,0,1
9,0,0,17,25000,0,2
9,0,0,18,26003,0,1
9,0,0,19,28003,0,2
10,0,0,0,2004,0,1
10,0,0,1,4004,0,2
10,0,0,2,5000,0,1
10,0,0,3,6002,0,2
10,0,0,4,8003,0,1
10,0,0,5,9000,0,2
10,0,0,6,10003,0,1
10,0,0,7,12003,0,2
10,0,0,8,13000,0,1
10,0,0,9,14003,0,2
10,0,0,10,16004,0,1
10,0,0,11,17000,0,2
10,0,0,12,18003,0,1
10,0,0,13,20005,0,2
10,0,0,14,21000,0,1
10,0,0,15,22004,0,2
10,0,0,16,24006,0,1
10,0,0,17,25000,0,2
10,0,0,18,26004,0,1
10,0,0,19,28006,0,2
