subject_id,label,hand,transductive_group_maps,state_naming_mode,feature,value
1,0,left,True,neutral,MS0_duration,0.018561946902654867
1,1,right,True,neutral,MS0_duration,0.019110651499482937
2,0,left,True,neutral,MS0_duration,0.016201372997711672
2,1,right,True,neutral,MS0_duration,0.017281427412814274
3,0,left,True,neutral,MS0_duration,0.019580016934801017
3,1,right,True,neutral,MS0_duration,0.01933279352226721
4,0,left,True,neutral,MS0_duration,0.020469352014010508
4,1,right,True,neutral,MS0_duration,0.02056441717791411
5,0,left,True,neutral,MS0_duration,0.012578401464307507
5,1,right,True,neutral,MS0_duration,0.01227967097532315
6,0,left,True,neutral,MS0_duration,0.022740259740259745
6,1,right,True,neutral,MS0_duration,0.02416763678696159
7,0,left,True,neutral,MS0_duration,0.02420248962655602
7,1,right,True,neutral,MS0_duration,0.019819157088122607
8,0,left,True,neutral,MS0_duration,0.0227467362924282
8,1,right,True,neutral,MS0_duration,0.023595190380761525
9,0,left,True,neutral,MS0_duration,0.018477978339350182
9,1,right,True,neutral,MS0_duration,0.019592867756315007
10,0,left,True,neutral,MS0_duration,0.0225
10,1,right,True,neutral,MS0_duration,0.020461197339246125
11,0,left,True,neutral,MS0_duration,0.020205567451820127
11,1,right,True,neutral,MS0_duration,0.01865792349726776
12,0,left,True,neutral,MS0_duration,0.021369406867845993
12,1,right,True,neutral,MS0_duration,0.02429327902240326
13,0,left,True,neutral,MS0_duration,0.044528117359413213
13,1,right,True,neutral,MS0_duration,0.04647228915662652
14,0,left,True,neutral,MS0_duration,0.02074245939675174
14,1,right,True,neutral,MS0_duration,0.022029508196721316
15,0,left,True,neutral,MS0_duration,0.012830694275274059
15,1,right,True,neutral,MS0_duration,0.012523923444976078
16,0,left,True,neutral,MS0_duration,0.0318296943231441
16,1,right,True,neutral,MS0_duration,0.03226666666666667
17,0,left,True,neutral,MS0_duration,0.021008750994431186
17,1,right,True,neutral,MS0_duration,0.021481239804241437
18,0,left,True,neutral,MS0_duration,0.015470301850048686
18,1,right,True,neutral,MS0_duration,0.0142172131147541
19,0,left,True,neutral,MS0_duration,0.020858131487889276
19,1,right,True,neutral,MS0_duration,0.02048078495502862
20,0,left,True,neutral,MS0_duration,0.017178997613365155
20,1,right,True,neutral,MS0_duration,0.01883454734651405
21,0,left,True,neutral,MS0_duration,0.01723280861640431
21,1,right,True,neutral,MS0_duration,0.016303961196443006
22,0,left,True,neutral,MS0_duration,0.02142336548767417
22,1,right,True,neutral,MS0_duration,0.016815763546798035
23,0,left,True,neutral,MS0_duration,0.022358730158730158
23,1,right,True,neutral,MS0_duration,0.023778125
24,0,left,True,neutral,MS0_duration,0.026651162790697677
24,1,right,True,neutral,MS0_duration,0.029194414607948443
25,0,left,True,neutral,MS0_duration,0.026656400384985568
25,1,right,True,neutral,MS0_duration,0.02672666666666667
26,0,left,True,neutral,MS0_duration,0.026690000000000002
26,1,right,True,neutral,MS0_duration,0.027096774193548386
27,0,left,True,neutral,MS0_duration,0.024218809980806145
27,1,right,True,neutral,MS0_duration,0.02271736896197328
28,0,left,True,neutral,MS0_duration,0.017348080676642813
28,1,right,True,neutral,MS0_duration,0.017799237611181705
29,0,left,True,neutral,MS0_duration,0.020334687246141347
29,1,right,True,neutral,MS0_duration,0.021178242677824272
30,0,left,True,neutral,MS0_duration,0.017661080074487898
30,1,right,True,neutral,MS0_duration,0.019913615023474177
31,0,left,True,neutral,MS0_duration,0.023697732997481107
31,1,right,True,neutral,MS0_duration,0.023055603079555172
32,0,left,True,neutral,MS0_duration,0.019096000000000005
32,1,right,True,neutral,MS0_duration,0.01957702349869452
33,0,left,True,neutral,MS0_duration,0.01782270606531882
33,1,right,True,neutral,MS0_duration,0.015197595792637117
34,0,left,True,neutral,MS0_duration,0.021632286995515698
34,1,right,True,neutral,MS0_duration,0.02459344894026975
35,0,left,True,neutral,MS0_duration,0.030150982419855223
35,1,right,True,neutral,MS0_duration,0.028335353535353536
36,0,left,True,neutral,MS0_duration,0.03081218274111676
36,1,right,True,neutral,MS0_duration,0.03105606258148631
37,0,left,True,neutral,MS0_duration,0.01895342465753425
37,1,right,True,neutral,MS0_duration,0.01778319783197832
38,0,left,True,neutral,MS0_duration,0.019212800000000006
38,1,right,True,neutral,MS0_duration,0.02101732283464567
39,0,left,True,neutral,MS0_duration,0.018566990291262138
39,1,right,True,neutral,MS0_duration,0.019114006514657982
40,0,left,True,neutral,MS0_duration,0.024698961937716264
40,1,right,True,neutral,MS0_duration,0.02354198473282443
41,0,left,True,neutral,MS0_duration,0.020193265007320646
41,1,right,True,neutral,MS0_duration,0.018326860841423948
42,0,left,True,neutral,MS0_duration,0.02273770491803279
42,1,right,True,neutral,MS0_duration,0.02373568281938326
43,0,left,True,neutral,MS0_duration,0.04483196239717979
43,1,right,True,neutral,MS0_duration,0.045634877384196186
44,0,left,True,neutral,MS0_duration,0.015767719897523486
44,1,right,True,neutral,MS0_duration,0.017025641025641025
45,0,left,True,neutral,MS0_duration,0.02110512597741095
45,1,right,True,neutral,MS0_duration,0.022333913043478267
46,0,left,True,neutral,MS0_duration,0.02861369000786782
46,1,right,True,neutral,MS0_duration,0.02683462132921175
47,0,left,True,neutral,MS0_duration,0.019575150300601203
47,1,right,True,neutral,MS0_duration,0.017641129032258066
48,0,left,True,neutral,MS0_duration,0.024572093023255817
48,1,right,True,neutral,MS0_duration,0.023544430538172713
49,0,left,True,neutral,MS0_duration,0.012521739130434785
49,1,right,True,neutral,MS0_duration,0.012691785052501545
50,0,left,True,neutral,MS0_duration,0.019434456928838953
50,1,right,True,neutral,MS0_duration,0.020953959484346224
1,0,left,True,neutral,MS0_occurrence,11.3
1,1,right,True,neutral,MS0_occurrence,12.0875
2,0,left,True,neutral,MS0_occurrence,16.3875
2,1,right,True,neutral,MS0_occurrence,15.4125
3,0,left,True,neutral,MS0_occurrence,14.7625
3,1,right,True,neutral,MS0_occurrence,15.4375
4,0,left,True,neutral,MS0_occurrence,14.275
4,1,right,True,neutral,MS0_occurrence,14.2625
5,0,left,True,neutral,MS0_occurrence,20.4875
5,1,right,True,neutral,MS0_occurrence,21.275
6,0,left,True,neutral,MS0_occurrence,11.55
6,1,right,True,neutral,MS0_occurrence,10.7375
7,0,left,True,neutral,MS0_occurrence,15.0625
7,1,right,True,neutral,MS0_occurrence,16.3125
8,0,left,True,neutral,MS0_occurrence,14.3625
8,1,right,True,neutral,MS0_occurrence,12.475
9,0,left,True,neutral,MS0_occurrence,17.3125
9,1,right,True,neutral,MS0_occurrence,16.825
10,0,left,True,neutral,MS0_occurrence,11.1
10,1,right,True,neutral,MS0_occurrence,11.275
11,0,left,True,neutral,MS0_occurrence,11.675
11,1,right,True,neutral,MS0_occurrence,11.4375
12,0,left,True,neutral,MS0_occurrence,12.0125
12,1,right,True,neutral,MS0_occurrence,12.275
13,0,left,True,neutral,MS0_occurrence,10.225
13,1,right,True,neutral,MS0_occurrence,10.375
14,0,left,True,neutral,MS0_occurrence,16.1625
14,1,right,True,neutral,MS0_occurrence,15.25
15,0,left,True,neutral,MS0_occurrence,20.525
15,1,right,True,neutral,MS0_occurrence,20.9
16,0,left,True,neutral,MS0_occurrence,11.45
16,1,right,True,neutral,MS0_occurrence,11.25
17,0,left,True,neutral,MS0_occurrence,15.7125
17,1,right,True,neutral,MS0_occurrence,15.325
18,0,left,True,neutral,MS0_occurrence,12.8375
18,1,right,True,neutral,MS0_occurrence,12.2
19,0,left,True,neutral,MS0_occurrence,14.45
19,1,right,True,neutral,MS0_occurrence,15.2875
20,0,left,True,neutral,MS0_occurrence,10.475
20,1,right,True,neutral,MS0_occurrence,12.0125
21,0,left,True,neutral,MS0_occurrence,15.0875
21,1,right,True,neutral,MS0_occurrence,15.4625
22,0,left,True,neutral,MS0_occurrence,11.6625
22,1,right,True,neutral,MS0_occurrence,12.6875
23,0,left,True,neutral,MS0_occurrence,15.75
23,1,right,True,neutral,MS0_occurrence,16.0
24,0,left,True,neutral,MS0_occurrence,10.75
24,1,right,True,neutral,MS0_occurrence,11.6375
25,0,left,True,neutral,MS0_occurrence,12.9875
25,1,right,True,neutral,MS0_occurrence,15.0
26,0,left,True,neutral,MS0_occurrence,10.0
26,1,right,True,neutral,MS0_occurrence,9.6875
27,0,left,True,neutral,MS0_occurrence,13.025
27,1,right,True,neutral,MS0_occurrence,12.1625
28,0,left,True,neutral,MS0_occurrence,19.2125
28,1,right,True,neutral,MS0_occurrence,19.675
29,0,left,True,neutral,MS0_occurrence,15.3875
29,1,right,True,neutral,MS0_occurrence,14.9375
30,0,left,True,neutral,MS0_occurrence,13.425
30,1,right,True,neutral,MS0_occurrence,13.3125
31,0,left,True,neutral,MS0_occurrence,14.8875
31,1,right,True,neutral,MS0_occurrence,14.6125
32,0,left,True,neutral,MS0_occurrence,18.75
32,1,right,True,neutral,MS0_occurrence,19.15
33,0,left,True,neutral,MS0_occurrence,16.075
33,1,right,True,neutral,MS0_occurrence,16.6375
34,0,left,True,neutral,MS0_occurrence,8.3625
34,1,right,True,neutral,MS0_occurrence,6.4875
35,0,left,True,neutral,MS0_occurrence,12.0875
35,1,right,True,neutral,MS0_occurrence,12.375
36,0,left,True,neutral,MS0_occurrence,9.85
36,1,right,True,neutral,MS0_occurrence,9.5875
37,0,left,True,neutral,MS0_occurrence,9.125
37,1,right,True,neutral,MS0_occurrence,9.225
38,0,left,True,neutral,MS0_occurrence,15.625
38,1,right,True,neutral,MS0_occurrence,15.875
39,0,left,True,neutral,MS0_occurrence,12.875
39,1,right,True,neutral,MS0_occurrence,11.5125
40,0,left,True,neutral,MS0_occurrence,7.225
40,1,right,True,neutral,MS0_occurrence,8.1875
41,0,left,True,neutral,MS0_occurrence,17.075
41,1,right,True,neutral,MS0_occurrence,15.45
42,0,left,True,neutral,MS0_occurrence,12.2
42,1,right,True,neutral,MS0_occurrence,11.35
43,0,left,True,neutral,MS0_occurrence,10.6375
43,1,right,True,neutral,MS0_occurrence,9.175
44,0,left,True,neutral,MS0_occurrence,14.6375
44,1,right,True,neutral,MS0_occurrence,15.6
45,0,left,True,neutral,MS0_occurrence,14.3875
45,1,right,True,neutral,MS0_occurrence,14.375
46,0,left,True,neutral,MS0_occurrence,15.8875
46,1,right,True,neutral,MS0_occurrence,16.175
47,0,left,True,neutral,MS0_occurrence,12.475
47,1,right,True,neutral,MS0_occurrence,12.4
48,0,left,True,neutral,MS0_occurrence,10.75
48,1,right,True,neutral,MS0_occurrence,9.9875
49,0,left,True,neutral,MS0_occurrence,20.7
49,1,right,True,neutral,MS0_occurrence,20.2375
50,0,left,True,neutral,MS0_occurrence,13.35
50,1,right,True,neutral,MS0_occurrence,13.575
1,0,left,True,neutral,MS0_coverage,0.20975
1,1,right,True,neutral,MS0_coverage,0.231
2,0,left,True,neutral,MS0_coverage,0.2655
2,1,right,True,neutral,MS0_coverage,0.26635
3,0,left,True,neutral,MS0_coverage,0.28905
3,1,right,True,neutral,MS0_coverage,0.29845
4,0,left,True,neutral,MS0_coverage,0.2922
4,1,right,True,neutral,MS0_coverage,0.2933
5,0,left,True,neutral,MS0_coverage,0.2577
5,1,right,True,neutral,MS0_coverage,0.26125
6,0,left,True,neutral,MS0_coverage,0.26265
6,1,right,True,neutral,MS0_coverage,0.2595
7,0,left,True,neutral,MS0_coverage,0.36455
7,1,right,True,neutral,MS0_coverage,0.3233
8,0,left,True,neutral,MS0_coverage,0.3267
8,1,right,True,neutral,MS0_coverage,0.29435
9,0,left,True,neutral,MS0_coverage,0.3199
9,1,right,True,neutral,MS0_coverage,0.32965
10,0,left,True,neutral,MS0_coverage,0.24975
10,1,right,True,neutral,MS0_coverage,0.2307
11,0,left,True,neutral,MS0_coverage,0.2359
11,1,right,True,neutral,MS0_coverage,0.2134
12,0,left,True,neutral,MS0_coverage,0.2567
12,1,right,True,neutral,MS0_coverage,0.2982
13,0,left,True,neutral,MS0_coverage,0.4553
13,1,right,True,neutral,MS0_coverage,0.48215
14,0,left,True,neutral,MS0_coverage,0.33525
14,1,right,True,neutral,MS0_coverage,0.33595
15,0,left,True,neutral,MS0_coverage,0.26335
15,1,right,True,neutral,MS0_coverage,0.26175
16,0,left,True,neutral,MS0_coverage,0.36445
16,1,right,True,neutral,MS0_coverage,0.363
17,0,left,True,neutral,MS0_coverage,0.3301
17,1,right,True,neutral,MS0_coverage,0.3292
18,0,left,True,neutral,MS0_coverage,0.1986
18,1,right,True,neutral,MS0_coverage,0.17345
19,0,left,True,neutral,MS0_coverage,0.3014
19,1,right,True,neutral,MS0_coverage,0.3131
20,0,left,True,neutral,MS0_coverage,0.17995
