feature,mean_left,mean_right,paired_difference,cohen_dz,bootstrap_ci_low,bootstrap_ci_high,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,transductive_group_maps,state_naming_mode,bh_q
MS0_coverage,0.291422,0.290231,-0.0011909999999999965,-0.04415869164635266,-0.008524675,0.00625777499999999,-0.3122491031261944,0.7561761539987062,596.0,0.6947463342363385,True,neutral,0.9923668279164506
MS0_duration,0.021973055540858,0.02201962109045964,4.656554960164521e-05,0.028194398019720263,-0.00041524618438770956,0.000483736423238116,0.1993645004328784,0.8428026383538355,576.0,0.559104623193516,True,neutral,0.9584650683317416
MS0_occurrence,13.727500000000003,13.699000000000002,-0.028499999999999998,-0.0336055799203788,-0.26425,0.20325624999999975,-0.23762733447434342,0.8131609596527833,632.0,0.9576570435753262,True,neutral,0.9923668279164506
MS0_to_MS1,0.37060964743063285,0.37345670640678,0.0028470589761471184,0.1100134497810606,-0.004149141835863766,0.009814784297220004,0.7779125636491959,0.44036064670581854,535.0,0.32777522027848605,True,neutral,0.8740672540759628
MS0_to_MS2,0.4366978821898255,0.43739442679391943,0.0006965446040938084,0.029344683136180386,-0.005947016338952071,0.006977320159919798,0.20749824438237843,0.8364807366710314,589.0,0.645875956795086,True,neutral,0.9923668279164506
MS0_to_MS3,0.19269247037954151,0.18914886679930062,-0.0035436035802409393,-0.20673236831836161,-0.008244419489393561,0.00118952465336772,-1.4618185953719665,0.15017500665617003,471.0,0.10953049393459402,True,neutral,0.700340641886048
MS1_coverage,0.3125030000000001,0.318884,0.006380999999999999,0.17879655881467965,-0.0038377249999999954,0.015892124999999997,1.2642825919422187,0.21210956290227054,475.0,0.11672344031434134,True,neutral,0.700340641886048
MS1_duration,0.02587164918121271,0.026659605775312123,0.0007879565940994108,0.1869607962628848,-0.00042007467122947314,0.001974158496951213,1.3220124688489014,0.1923025442918623,416.0,0.03205348601661129,True,neutral,0.700340641886048
MS1_occurrence,12.796000000000001,12.793999999999999,-0.0019999999999999398,-0.0027002244947649623,-0.18999999999999997,0.21103124999999973,-0.019093470509769016,0.9848440774861204,566.0,0.490044803086907,True,neutral,0.9046980980065976
MS1_to_MS0,0.4065336248263278,0.40581398461608353,-0.0007196402102442912,-0.023935944878854316,-0.008828200567566256,0.00761196700830768,-0.16925268938508253,0.8662946835028975,622.0,0.8858855663449852,True,neutral,0.9923668279164506
MS1_to_MS2,0.4418310106893966,0.44305906541959794,0.001228054730201218,0.044420169110861524,-0.006195080797742266,0.008609652079508924,0.3140980280087953,0.7547799996894206,633.0,0.969474172425139,True,neutral,0.9923668279164506
MS1_to_MS3,0.1516353644842755,0.15112694996431858,-0.0005084145199569279,-0.02485447202854036,-0.006142328077117778,0.005260354664259556,-0.17574765715051416,0.8612164892878681,632.0,0.9618478594751583,True,neutral,0.9923668279164506
MS2_coverage,0.299388,0.296212,-0.0031759999999999996,-0.15227493271063297,-0.009060024999999996,0.0025773249999999897,-1.0767463752957631,0.2868664264540146,531.0,0.30905100446984335,True,neutral,0.8740672540759628
MS2_duration,0.021700565716508705,0.02172703384832902,2.6468131820310894e-05,0.016335801869182015,-0.0003995130883981891,0.0004907482182576419,0.11551156284947711,0.9085117420032971,631.0,0.9542249738357711,True,neutral,0.9923668279164506
MS2_occurrence,14.111,14.039000000000001,-0.07200000000000012,-0.08618117361400153,-0.29575625000000005,0.16526249999999976,-0.6093929227314858,0.5450794507830269,527.5,0.288279292794108,True,neutral,0.8740672540759628
MS2_to_MS0,0.4182940302298619,0.4193395384986921,0.0010455082688302364,0.04455533911202768,-0.005126677007754166,0.007738205678016656,0.3150538242552361,0.7540585852267498,628.0,0.9313837099567692,True,neutral,0.9923668279164506
MS2_to_MS1,0.4052880150220222,0.40263044601770936,-0.002657569004312893,-0.09787114588497238,-0.009917729496843842,0.004771691194269961,-0.6920535094031048,0.4921702569488331,529.0,0.4062001426297972,True,neutral,0.9046980980065976
MS2_to_MS3,0.17641795474811592,0.1780300154835985,0.0016120607354826613,0.07393717959865835,-0.004366246717603586,0.007721353218289044,0.5228148107841686,0.6034592426036638,636.0,0.9923668279164506,True,neutral,0.9923668279164506
MS3_coverage,0.09668700000000001,0.094673,-0.0020139999999999993,-0.1313577990279658,-0.006239475000000001,0.0019681000000000017,-0.9288399046047241,0.3575252908475885,474.0,0.1144878333017776,True,neutral,0.700340641886048
MS3_duration,0.013138850989246937,0.012972217535880999,-0.00016663345336593614,-0.07848908271163405,-0.0007698286749211843,0.00036833905514169847,-0.5550016266065039,0.5814184185397001,557.0,0.44326672141018975,True,neutral,0.9046980980065976
MS3_occurrence,7.341750000000001,7.282499999999999,-0.05924999999999998,-0.0874735476760967,-0.23925624999999995,0.13150000000000003,-0.6185313873630406,0.53908992636679,502.5,0.1925012368965523,True,neutral,0.7700049475862092
MS3_to_MS0,0.3693887744403692,0.3668915207170771,-0.0024972537232920743,-0.07575151087197841,-0.011614383065551768,0.006676926924303783,-0.5356440702432723,0.5946276313229434,621.0,0.878334307774896,True,neutral,0.9923668279164506
MS3_to_MS1,0.28327253350430814,0.2886652047082632,0.005392671203955031,0.21165808441435194,-0.0018022523859850547,0.01245423282486417,1.4966486678821718,0.1408987028050765,486.0,0.14601836144972324,True,neutral,0.7008881349586715
MS3_to_MS2,0.34733869205532275,0.34444327457465973,-0.00289541748066296,-0.09419738971232941,-0.011266952734658976,0.0055485569129958764,-0.6660761303782701,0.5084862968508541,564.0,0.4843032319103049,True,neutral,0.9046980980065976
