band,feature,family,n_subjects,mean_difference_right_minus_left,mean_subject_hedges_g,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_stat,wilcoxon_p,bh_q,correction
13-20Hz,logbp_Fp1,channel_x_band_and_prespecified_homologous_asymmetry,50,-0.005173984608007479,-0.034856955308953566,-0.04090330538953589,0.03245385403218232,585.0,0.6185935400423848,0.7996721715230397,BH across all channel x band and prespecified homologous/asymmetry cohort tests
13-20Hz,logbp_Fp2,channel_x_band_and_prespecified_homologous_asymmetry,50,0.0005495466129860027,0.011472669626443905,-0.02905719635664747,0.03097187682391495,631.0,0.9542249738357711,0.9672965488198227,BH across all channel x band and prespecified homologous/asymmetry cohort tests
13-20Hz,logbp_Fz,channel_x_band_and_prespecified_homologous_asymmetry,50,0.012376512992183215,0.013385508788986873,-0.023416892868032113,0.04853284621296347,572.0,0.5335711137818162,0.7742012239187138,BH across all channel x band and prespecified homologous/asymmetry cohort tests
13-20Hz,logbp_F3,channel_x_band_and_prespecified_homologous_asymmetry,50,0.02359262061614077,0.050071157892609595,-0.01424889590655739,0.06171938702351691,504.0,0.20103473802823935,0.6072069638403964,BH across all channel x band and prespecified homologous/asymmetry cohort tests
13-20Hz,logbp_F4,channel_x_band_and_prespecified_homologous_asymmetry,50,9.329960128435621e-05,0.020275429281059867,-0.03611062924793152,0.036017795823383075,636.0,0.9923668279164506,0.9923668279164506,BH across all channel x band and prespecified homologous/asymmetry cohort tests
13-20Hz,logbp_F7,channel_x_band_and_prespecified_homologous_asymmetry,50,0.009415025848099072,0.0320776814356536,-0.03805922536321545,0.05361459806027341,558.0,0.4490067617286915,0.7466629296162509,BH across all channel x band and prespecified homologous/asymmetry cohort tests
13-20Hz,logbp_F8,channel_x_band_and_prespecified_homologous_asymmetry,50,-0.022438372997427233,-0.03352691834010977,-0.056957805880492735,0.012368387908597006,540.0,0.35217499509373695,0.6434802379490502,BH across all channel x band and prespecified homologous/asymmetry cohort tests
13-20Hz,logbp_FCz,channel_x_band_and_prespecified_homologous_asymmetry,50,0.014894532101139947,0.029693494329736635,-0.021728777600680784,0.05117491886645441,545.0,0.3776732059941086,0.665424220084858,BH across all channel x band and prespecified homologous/asymmetry cohort tests
13-20Hz,logbp_FC3,channel_x_band_and_prespecified_homologous_asymmetry,50,0.0069138168423424655,0.020098239490188522,-0.0348877609744833,0.04723774060983786,596.0,0.6947463342363385,0.8428070284178533,BH across all channel x band and prespecified homologous/asymmetry cohort tests
13-20Hz,logbp_FC4,channel_x_band_and_prespecified_homologous_asymmetry,50,0.017840461224363044,0.03733904597825142,-0.01922756163223344,0.05666126822199616,539.0,0.34720687274462314,0.6423327145775528,BH across all channel x band and prespecified homologous/asymmetry cohort tests
