plot,page,selection_reason,subject_id,band,channel,metric,value,polarity
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,Fp1,cohort_mean_signed_hedges_g,-0.021474121048848823,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,Fp2,cohort_mean_signed_hedges_g,-0.018041165785977867,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,Fz,cohort_mean_signed_hedges_g,0.038996854384920024,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,F3,cohort_mean_signed_hedges_g,0.005513957199923628,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,F4,cohort_mean_signed_hedges_g,0.009632986738375976,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,F7,cohort_mean_signed_hedges_g,-0.026178486598016346,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,F8,cohort_mean_signed_hedges_g,-0.0762948599238025,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,FCz,cohort_mean_signed_hedges_g,0.018526648741344992,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,FC3,cohort_mean_signed_hedges_g,-0.010915760943978734,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,FC4,cohort_mean_signed_hedges_g,0.028214633443481095,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,FT7,cohort_mean_signed_hedges_g,-0.03647687686068921,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,FT8,cohort_mean_signed_hedges_g,-0.06818153171231035,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,Cz,cohort_mean_signed_hedges_g,0.04730130932403909,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,C3,cohort_mean_signed_hedges_g,-0.037998677835263325,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,C4,cohort_mean_signed_hedges_g,0.02153315999911249,right-hand minus left-hand MI-window log bandpower
cohort_bandpower_effect_topomaps.png,1,configured_cohort_mean,,8-12Hz,T3,cohort_mean_signed_hedges_g,-0.08178046826352176,right-hand minus left-hand MI-window log bandpower
