subject_id,n_trials,class_counts,n_folds,min_test_per_class
1,40,"[20, 20]",5,4
10,40,"[20, 20]",5,4
11,40,"[20, 20]",5,4
12,40,"[20, 20]",5,4
13,40,"[20, 20]",5,4
14,40,"[20, 20]",5,4
15,40,"[20, 20]",5,4
16,40,"[20, 20]",5,4
17,40,"[20, 20]",5,4
18,40,"[20, 20]",5,4
19,40,"[20, 20]",5,4
2,40,"[20, 20]",5,4
20,40,"[20, 20]",5,4
21,40,"[20, 20]",5,4
22,40,"[20, 20]",5,4
23,40,"[20, 20]",5,4
24,40,"[20, 20]",5,4
25,40,"[20, 20]",5,4
26,40,"[20, 20]",5,4
27,40,"[20, 20]",5,4
28,40,"[20, 20]",5,4
29,40,"[20, 20]",5,4
3,40,"[20, 20]",5,4
30,40,"[20, 20]",5,4
31,40,"[20, 20]",5,4
32,40,"[20, 20]",5,4
33,40,"[20, 20]",5,4
34,40,"[20, 20]",5,4
35,40,"[20, 20]",5,4
36,40,"[20, 20]",5,4
37,40,"[20, 20]",5,4
38,40,"[20, 20]",5,4
39,40,"[20, 20]",5,4
4,40,"[20, 20]",5,4
40,40,"[20, 20]",5,4
41,40,"[20, 20]",5,4
42,40,"[20, 20]",5,4
43,40,"[20, 20]",5,4
44,40,"[20, 20]",5,4
45,40,"[20, 20]",5,4
46,40,"[20, 20]",5,4
47,40,"[20, 20]",5,4
48,40,"[20, 20]",5,4
49,40,"[20, 20]",5,4
5,40,"[20, 20]",5,4
50,40,"[20, 20]",5,4
6,40,"[20, 20]",5,4
7,40,"[20, 20]",5,4
8,40,"[20, 20]",5,4
9,40,"[20, 20]",5,4
