subject_id,path,rawdata_shape,labels_shape,label_counts_raw,raw_field,label_field
1,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-01/sub-01_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
3,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-03/sub-03_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
7,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-07/sub-07_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
9,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-09/sub-09_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
10,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-10/sub-10_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
11,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-11/sub-11_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
14,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-14/sub-14_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
15,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-15/sub-15_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
17,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-17/sub-17_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
29,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-29/sub-29_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
31,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-31/sub-31_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
32,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-32/sub-32_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
37,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-37/sub-37_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
41,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-41/sub-41_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40,)","[0, 20, 20]",eeg.rawdata,eeg.label
