subject_id,band,feature,family,mean_left,mean_right,difference_right_minus_left,hedges_g,cliff_rank_biserial,bootstrap_ci_low,bootstrap_ci_high,permutation_p,bh_q,correction
1,13-20Hz,logbp_C3,channel_power,-0.7356252004315814,-0.8716197480606054,-0.13599454762902397,-0.29583063172855795,-0.06499999999999995,-0.8092094383909709,0.37028632094982694,0.367816091954023,0.5885057471264368,BH within subject x band x declared family
1,13-20Hz,logbp_C4,channel_power,-0.9504991283744729,-0.9045376050551865,0.04596152331928638,0.11998916602844327,0.16999999999999993,-0.4385025142157952,0.9144456574756269,0.7166416791604198,0.7166416791604198,BH within subject x band x declared family
1,13-20Hz,logbp_CP3,channel_power,-0.7572049318049141,-0.8514723862536675,-0.0942674544487534,-0.2890707322204128,-0.14,-0.9420769411151388,0.31074206866391524,0.3408295852073963,0.5885057471264368,BH within subject x band x declared family
1,13-20Hz,logbp_CP4,channel_power,-0.9885815101829569,-0.8723712548772576,0.11621025530569928,0.3446093328485717,0.26,-0.22527053461062077,1.0940965605295252,0.2888555722138931,0.5885057471264368,BH within subject x band x declared family
1,13-20Hz,logbp_FC3,channel_power,-0.4552525269574749,-0.7546833219202171,-0.2994307949627422,-0.5232176623860427,-0.20999999999999996,-0.9834970744572005,0.03221507089421305,0.10094952523738131,0.5885057471264368,BH within subject x band x declared family
1,13-20Hz,logbp_FC4,channel_power,-0.45292344851870087,-0.5358056325049395,-0.08288218398623864,-0.19476772658188168,0.004999999999999893,-0.7480472168989153,0.473762437067788,0.5382308845577212,0.715071035910616,BH within subject x band x declared family
1,13-20Hz,logbp_P3,channel_power,-0.6067972476581746,-0.6466767783574444,-0.03987953069926986,-0.15000829771829666,-0.05500000000000005,-0.7823957203170845,0.46651951820881987,0.6256871564217891,0.715071035910616,BH within subject x band x declared family
1,13-20Hz,logbp_P4,channel_power,-0.5161997131938987,-0.6161428881924628,-0.09994317499856409,-0.33051196366385843,-0.22499999999999998,-1.0035901819503132,0.28101146615659717,0.31284357821089454,0.5885057471264368,BH within subject x band x declared family
1,13-20Hz,asym_C3_C4,asymmetry,0.2148739279428915,0.03291785699458138,-0.18195607094831012,-0.5006120300042111,-0.32499999999999996,-1.289719690172967,0.08609819168363611,0.11794102948525736,0.1592537064800933,BH within subject x band x declared family
1,13-20Hz,asym_FC3_FC4,asymmetry,-0.002329078438774146,-0.21887768941527766,-0.21654861097650352,-0.4935742894888617,-0.29500000000000004,-1.1811344998368956,0.09071709796280429,0.11944027986006997,0.1592537064800933,BH within subject x band x declared family
