subject_id,label,hand,transductive_group_maps,state_naming_mode,feature,value
1,0,left,True,neutral,MS0_duration,0.03975
1,1,right,True,neutral,MS0_duration,0.032248190279214065
3,0,left,True,neutral,MS0_duration,0.019143706640237863
3,1,right,True,neutral,MS0_duration,0.019483288166214998
7,0,left,True,neutral,MS0_duration,0.01681687014428413
7,1,right,True,neutral,MS0_duration,0.018377967711301048
9,0,left,True,neutral,MS0_duration,0.016771428571428573
9,1,right,True,neutral,MS0_duration,0.016500000000000004
10,0,left,True,neutral,MS0_duration,0.03822173435784853
10,1,right,True,neutral,MS0_duration,0.04076923076923077
11,0,left,True,neutral,MS0_duration,0.023898734177215192
11,1,right,True,neutral,MS0_duration,0.024473469387755103
14,0,left,True,neutral,MS0_duration,0.019885363357215968
14,1,right,True,neutral,MS0_duration,0.020923387096774198
15,0,left,True,neutral,MS0_duration,0.011598382749326147
15,1,right,True,neutral,MS0_duration,0.011287310979618671
17,0,left,True,neutral,MS0_duration,0.02411538461538462
17,1,right,True,neutral,MS0_duration,0.02200371747211896
29,0,left,True,neutral,MS0_duration,0.018578383641674787
29,1,right,True,neutral,MS0_duration,0.020800800800800802
31,0,left,True,neutral,MS0_duration,0.017315296566077002
31,1,right,True,neutral,MS0_duration,0.017423076923076927
32,0,left,True,neutral,MS0_duration,0.016235684647302906
32,1,right,True,neutral,MS0_duration,0.015165275459098498
37,0,left,True,neutral,MS0_duration,0.052505467800729046
37,1,right,True,neutral,MS0_duration,0.0611497975708502
41,0,left,True,neutral,MS0_duration,0.02110277324632953
41,1,right,True,neutral,MS0_duration,0.027071547420965063
1,0,left,True,neutral,MS0_occurrence,11.2
1,1,right,True,neutral,MS0_occurrence,12.0875
3,0,left,True,neutral,MS0_occurrence,12.6125
3,1,right,True,neutral,MS0_occurrence,13.8375
7,0,left,True,neutral,MS0_occurrence,11.2625
7,1,right,True,neutral,MS0_occurrence,13.1625
9,0,left,True,neutral,MS0_occurrence,14.0
9,1,right,True,neutral,MS0_occurrence,14.0
10,0,left,True,neutral,MS0_occurrence,11.3875
10,1,right,True,neutral,MS0_occurrence,10.725
11,0,left,True,neutral,MS0_occurrence,11.85
11,1,right,True,neutral,MS0_occurrence,12.25
14,0,left,True,neutral,MS0_occurrence,12.2125
14,1,right,True,neutral,MS0_occurrence,12.4
15,0,left,True,neutral,MS0_occurrence,18.55
15,1,right,True,neutral,MS0_occurrence,19.0125
17,0,left,True,neutral,MS0_occurrence,13.0
17,1,right,True,neutral,MS0_occurrence,13.45
29,0,left,True,neutral,MS0_occurrence,12.8375
29,1,right,True,neutral,MS0_occurrence,12.4875
31,0,left,True,neutral,MS0_occurrence,12.0125
31,1,right,True,neutral,MS0_occurrence,11.7
32,0,left,True,neutral,MS0_occurrence,15.0625
32,1,right,True,neutral,MS0_occurrence,14.975
37,0,left,True,neutral,MS0_occurrence,10.2875
37,1,right,True,neutral,MS0_occurrence,9.2625
41,0,left,True,neutral,MS0_occurrence,15.325
41,1,right,True,neutral,MS0_occurrence,15.025
1,0,left,True,neutral,MS0_coverage,0.4452
1,1,right,True,neutral,MS0_coverage,0.3898
3,0,left,True,neutral,MS0_coverage,0.24145
3,1,right,True,neutral,MS0_coverage,0.2696
7,0,left,True,neutral,MS0_coverage,0.1894
7,1,right,True,neutral,MS0_coverage,0.2419
9,0,left,True,neutral,MS0_coverage,0.2348
9,1,right,True,neutral,MS0_coverage,0.231
10,0,left,True,neutral,MS0_coverage,0.43525
10,1,right,True,neutral,MS0_coverage,0.43725
11,0,left,True,neutral,MS0_coverage,0.2832
11,1,right,True,neutral,MS0_coverage,0.2998
14,0,left,True,neutral,MS0_coverage,0.24285
14,1,right,True,neutral,MS0_coverage,0.25945
15,0,left,True,neutral,MS0_coverage,0.21515
15,1,right,True,neutral,MS0_coverage,0.2146
17,0,left,True,neutral,MS0_coverage,0.3135
17,1,right,True,neutral,MS0_coverage,0.29595
29,0,left,True,neutral,MS0_coverage,0.2385
29,1,right,True,neutral,MS0_coverage,0.25975
31,0,left,True,neutral,MS0_coverage,0.208
31,1,right,True,neutral,MS0_coverage,0.20385
32,0,left,True,neutral,MS0_coverage,0.24455
32,1,right,True,neutral,MS0_coverage,0.2271
37,0,left,True,neutral,MS0_coverage,0.54015
37,1,right,True,neutral,MS0_coverage,0.5664
41,0,left,True,neutral,MS0_coverage,0.3234
41,1,right,True,neutral,MS0_coverage,0.40675
1,0,left,True,neutral,MS1_duration,0.00968
1,1,right,True,neutral,MS1_duration,0.00973821989528796
3,0,left,True,neutral,MS1_duration,0.009196850393700788
3,1,right,True,neutral,MS1_duration,0.00930684326710817
7,0,left,True,neutral,MS1_duration,0.01889375
7,1,right,True,neutral,MS1_duration,0.009833935018050542
9,0,left,True,neutral,MS1_duration,0.009054794520547946
9,1,right,True,neutral,MS1_duration,0.008528599605522684
10,0,left,True,neutral,MS1_duration,0.009033210332103322
10,1,right,True,neutral,MS1_duration,0.009432835820895524
11,0,left,True,neutral,MS1_duration,0.022312292358803987
11,1,right,True,neutral,MS1_duration,0.01877602523659306
14,0,left,True,neutral,MS1_duration,0.010926829268292684
14,1,right,True,neutral,MS1_duration,0.011424936386768449
15,0,left,True,neutral,MS1_duration,0.013708830548926016
15,1,right,True,neutral,MS1_duration,0.013157232704402517
17,0,left,True,neutral,MS1_duration,0.010206611570247937
17,1,right,True,neutral,MS1_duration,0.009982222222222224
29,0,left,True,neutral,MS1_duration,0.01043343653250774
29,1,right,True,neutral,MS1_duration,0.010917089678510999
31,0,left,True,neutral,MS1_duration,0.008405970149253733
31,1,right,True,neutral,MS1_duration,0.012777464788732396
32,0,left,True,neutral,MS1_duration,0.009236923076923077
32,1,right,True,neutral,MS1_duration,0.009132394366197184
37,0,left,True,neutral,MS1_duration,0.010786377708978329
37,1,right,True,neutral,MS1_duration,0.01290909090909091
41,0,left,True,neutral,MS1_duration,0.007870270270270272
41,1,right,True,neutral,MS1_duration,0.008504297994269341
1,0,left,True,neutral,MS1_occurrence,5.0
1,1,right,True,neutral,MS1_occurrence,4.775
3,0,left,True,neutral,MS1_occurrence,4.7625
3,1,right,True,neutral,MS1_occurrence,5.6625
7,0,left,True,neutral,MS1_occurrence,8.0
7,1,right,True,neutral,MS1_occurrence,6.925
9,0,left,True,neutral,MS1_occurrence,7.3
9,1,right,True,neutral,MS1_occurrence,6.3375
10,0,left,True,neutral,MS1_occurrence,3.3875
10,1,right,True,neutral,MS1_occurrence,3.35
11,0,left,True,neutral,MS1_occurrence,7.525
11,1,right,True,neutral,MS1_occurrence,7.925
14,0,left,True,neutral,MS1_occurrence,9.7375
14,1,right,True,neutral,MS1_occurrence,9.825
15,0,left,True,neutral,MS1_occurrence,20.95
15,1,right,True,neutral,MS1_occurrence,21.8625
17,0,left,True,neutral,MS1_occurrence,6.05
17,1,right,True,neutral,MS1_occurrence,5.625
29,0,left,True,neutral,MS1_occurrence,8.075
29,1,right,True,neutral,MS1_occurrence,7.3875
31,0,left,True,neutral,MS1_occurrence,4.1875
31,1,right,True,neutral,MS1_occurrence,4.4375
32,0,left,True,neutral,MS1_occurrence,8.125
32,1,right,True,neutral,MS1_occurrence,8.875
37,0,left,True,neutral,MS1_occurrence,4.0375
37,1,right,True,neutral,MS1_occurrence,3.575
41,0,left,True,neutral,MS1_occurrence,4.625
41,1,right,True,neutral,MS1_occurrence,4.3625
1,0,left,True,neutral,MS1_coverage,0.0484
1,1,right,True,neutral,MS1_coverage,0.0465
3,0,left,True,neutral,MS1_coverage,0.0438
3,1,right,True,neutral,MS1_coverage,0.0527
7,0,left,True,neutral,MS1_coverage,0.15115
7,1,right,True,neutral,MS1_coverage,0.0681
9,0,left,True,neutral,MS1_coverage,0.0661
9,1,right,True,neutral,MS1_coverage,0.05405
10,0,left,True,neutral,MS1_coverage,0.0306
10,1,right,True,neutral,MS1_coverage,0.0316
11,0,left,True,neutral,MS1_coverage,0.1679
11,1,right,True,neutral,MS1_coverage,0.1488
14,0,left,True,neutral,MS1_coverage,0.1064
14,1,right,True,neutral,MS1_coverage,0.11225
15,0,left,True,neutral,MS1_coverage,0.2872
15,1,right,True,neutral,MS1_coverage,0.28765
17,0,left,True,neutral,MS1_coverage,0.06175
17,1,right,True,neutral,MS1_coverage,0.05615
29,0,left,True,neutral,MS1_coverage,0.08425
29,1,right,True,neutral,MS1_coverage,0.08065
31,0,left,True,neutral,MS1_coverage,0.0352
31,1,right,True,neutral,MS1_coverage,0.0567
32,0,left,True,neutral,MS1_coverage,0.07505
32,1,right,True,neutral,MS1_coverage,0.08105
37,0,left,True,neutral,MS1_coverage,0.04355
37,1,right,True,neutral,MS1_coverage,0.04615
41,0,left,True,neutral,MS1_coverage,0.0364
41,1,right,True,neutral,MS1_coverage,0.0371
1,0,left,True,neutral,MS2_duration,0.02340613026819924
1,1,right,True,neutral,MS2_duration,0.023848101265822784
3,0,left,True,neutral,MS2_duration,0.027120879120879123
3,1,right,True,neutral,MS2_duration,0.022618461538461542
7,0,left,True,neutral,MS2_duration,0.02114957983193277
7,1,right,True,neutral,MS2_duration,0.02243298969072165
9,0,left,True,neutral,MS2_duration,0.020505681818181822
9,1,right,True,neutral,MS2_duration,0.0214847409510291
10,0,left,True,neutral,MS2_duration,0.0238210197710718
10,1,right,True,neutral,MS2_duration,0.024776470588235296
11,0,left,True,neutral,MS2_duration,0.021992263056092844
11,1,right,True,neutral,MS2_duration,0.022469924812030077
14,0,left,True,neutral,MS2_duration,0.020723618090452263
14,1,right,True,neutral,MS2_duration,0.019689948892674617
15,0,left,True,neutral,MS2_duration,0.012063694267515926
15,1,right,True,neutral,MS2_duration,0.011957016434892543
17,0,left,True,neutral,MS2_duration,0.0195828025477707
17,1,right,True,neutral,MS2_duration,0.020382284382284382
29,0,left,True,neutral,MS2_duration,0.019346097201767307
29,1,right,True,neutral,MS2_duration,0.019936658749010294
31,0,left,True,neutral,MS2_duration,0.02507857142857143
31,1,right,True,neutral,MS2_duration,0.025962466487935657
32,0,left,True,neutral,MS2_duration,0.01781672240802676
32,1,right,True,neutral,MS2_duration,0.01781720430107527
37,0,left,True,neutral,MS2_duration,0.02159905660377359
37,1,right,True,neutral,MS2_duration,0.02157739557739558
41,0,left,True,neutral,MS2_duration,0.01760815047021944
41,1,right,True,neutral,MS2_duration,0.017525106382978724
1,0,left,True,neutral,MS2_occurrence,13.05
1,1,right,True,neutral,MS2_occurrence,13.825
3,0,left,True,neutral,MS2_occurrence,14.7875
3,1,right,True,neutral,MS2_occurrence,16.25
7,0,left,True,neutral,MS2_occurrence,14.875
7,1,right,True,neutral,MS2_occurrence,16.975
