subject_id,raw_shape,preprocessed_trial_shape,window_shape,n_windows,class_0,class_1,raw_field,label_field
1,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
2,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
3,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
4,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
5,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
6,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
7,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
8,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
9,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
10,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
11,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
12,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
13,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
14,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
15,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
16,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
17,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
18,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
19,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
20,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
21,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
22,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
23,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
24,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
25,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
26,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
27,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
28,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
29,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
30,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
31,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
32,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
33,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
34,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
35,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
36,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
37,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
38,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
39,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
40,"[40, 33, 4000]","[40, 29, 4000]","[40, 29, 4000]",40,20,20,eeg.rawdata,eeg.label
