feature,mean_left,mean_right,paired_difference,cohen_dz,bootstrap_ci_low,bootstrap_ci_high,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,transductive_group_maps,state_naming_mode,bh_q
A_coverage,0.3056214285714285,0.29475714285714283,-0.010864285714285713,-0.46629893358915536,-0.022425714285714285,0.00030830357142856403,-1.744730849383559,0.10460976136751028,25.0,0.090576171875,True,proxy_canonical,0.64921875
A_duration,0.020204208151153865,0.01949069083054011,-0.0007135173206137534,-0.5344009129040396,-0.001419093003946372,-5.581395823425983e-05,-1.9995451247637306,0.06689482201091905,28.0,0.13525390625,True,proxy_canonical,0.64921875
A_occurrence,15.275892857142859,15.246428571428572,-0.029464285714285814,-0.03611210620450996,-0.4455580357142856,0.38127232142857087,-0.13511912893223538,0.8945873893564221,51.0,0.9515380859375,True,proxy_canonical,0.9515380859375
A_to_B,0.44588153033878264,0.45507859686881236,0.00919706653002977,0.338489167876236,-0.004275272480865589,0.02291532725644936,1.2665104953736959,0.22755332929298208,36.0,0.3258056640625,True,proxy_canonical,0.78193359375
A_to_C,0.36958079200762073,0.36739699025519607,-0.0021838017524246633,-0.08605859567341978,-0.01549892580591204,0.01000839338987874,-0.3220017802095324,0.7525706470310085,51.0,0.9515380859375,True,proxy_canonical,0.9515380859375
A_to_D,0.18453767765359677,0.17752441287599166,-0.0070132647776051105,-0.2897068943624201,-0.02035935229866132,0.004136130207663942,-1.0839839413352645,0.2980668739709976,44.0,0.625732421875,True,proxy_canonical,0.89306640625
B_coverage,0.30915357142857147,0.31505357142857143,0.005899999999999993,0.22658183678397087,-0.006803839285714294,0.019639553571428554,0.8477916033441105,0.41189163586890504,42.0,0.5416259765625,True,proxy_canonical,0.89306640625
B_duration,0.0208438762060325,0.020891340718181963,4.746451214946449e-05,0.03291149102460873,-0.0007942193594109704,0.0006294305724854311,0.12314352358735822,0.9038769296729401,35.0,0.2957763671875,True,proxy_canonical,0.78193359375
B_occurrence,15.122321428571427,15.320535714285715,0.19821428571428573,0.21836085435822306,-0.24555803571428533,0.6652008928571426,0.8170315036926141,0.42863004746559247,40.5,0.451147469241197,True,proxy_canonical,0.89306640625
B_to_A,0.4715022457663312,0.46759690132061155,-0.003905344445719637,-0.27443322379061424,-0.010766843014526123,0.003471941377967263,-1.026835099044495,0.32322601343064655,42.0,0.5416259765625,True,proxy_canonical,0.89306640625
B_to_C,0.3667400896274822,0.3749292426638053,0.008189153036322993,0.4408133873544269,-0.001157611083493158,0.01737002320256615,1.649372667072318,0.12301252363071345,28.0,0.13525390625,True,proxy_canonical,0.64921875
B_to_D,0.16175766460618668,0.1574738560155833,-0.004283808590603345,-0.36209841518983793,-0.010350886075444585,0.0015276196295219574,-1.3548482100487163,0.19854347039256454,34.0,0.267578125,True,proxy_canonical,0.78193359375
C_coverage,0.29681428571428575,0.3073714285714285,0.010557142857142857,0.31781101428913194,-0.005503839285714288,0.027547589285714262,1.189139929248847,0.2556519733107579,36.0,0.3001708049619184,True,proxy_canonical,0.78193359375
C_duration,0.023995657893932452,0.024834075716929953,0.0008384178229975011,0.22660410367115313,-0.0010159566083631723,0.002687705696301153,0.8478749186036183,0.41184689474790037,34.0,0.267578125,True,proxy_canonical,0.78193359375
C_occurrence,12.97142857142857,13.169642857142858,0.19821428571428573,0.25643422122162274,-0.17683035714285722,0.5964732142857136,0.9594889980567493,0.35481877584773475,33.0,0.38235208985751545,True,proxy_canonical,0.8342227415073065
C_to_A,0.4115630474084611,0.4016459977521883,-0.009917049656272723,-0.34824893108974153,-0.022623661384610475,0.005759439671901575,-1.303028185493818,0.2151731445983555,25.0,0.090576171875,True,proxy_canonical,0.64921875
C_to_B,0.45268882854023323,0.4606766196438822,0.007987791103648825,0.3358562810786925,-0.005223019269229789,0.018736896977582355,1.2566591350453526,0.23098873253448463,26.0,0.10400390625,True,proxy_canonical,0.64921875
C_to_D,0.13574812405130568,0.1376773826039296,0.0019292585526238992,0.12568883519176102,-0.005821909158419803,0.009597002798100975,0.47028455866090363,0.6459438591155863,45.0,0.6697998046875,True,proxy_canonical,0.89306640625
D_coverage,0.08841071428571427,0.08281785714285714,-0.005592857142857143,-0.23074428239897712,-0.019722053571428578,0.004221696428571423,-0.863366048729605,0.4035841060398977,51.0,0.9515380859375,True,proxy_canonical,0.9515380859375
D_duration,0.011410439052182558,0.011030084849546568,-0.000380354202635991,-0.12631191287736926,-0.0020139950183087154,0.0009684379717159692,-0.4726159020121063,0.6443232996182876,49.0,0.855224609375,True,proxy_canonical,0.9515380859375
D_occurrence,7.268749999999999,7.208928571428571,-0.059821428571428505,-0.09234564481366656,-0.3937723214285713,0.26343749999999955,-0.34552576405399155,0.7352262798428201,45.0,0.6697998046875,True,proxy_canonical,0.89306640625
D_to_A,0.3884363354501081,0.38613987686150864,-0.002296458588599472,-0.05878547181454512,-0.02331156060169891,0.01601491500411148,-0.21995509485551457,0.8293224364575921,51.0,0.9515380859375,True,proxy_canonical,0.9515380859375
D_to_B,0.34516359098707206,0.3478367459441147,0.002673154957042722,0.07008638518134373,-0.016729748484706534,0.022775100026844936,0.262239240832934,0.7972465384531833,50.0,0.9031982421875,True,proxy_canonical,0.9515380859375
D_to_C,0.26640007356281986,0.2660233771943767,-0.00037669636844325387,-0.011853887614299142,-0.01723127393372322,0.01582302534389998,-0.04435318615542622,0.965296927205774,45.0,0.6697998046875,True,proxy_canonical,0.89306640625
