subject,n_trials,cov_source,twfb_leaky,twfb_honest_acc,twfb_honest_bacc,fixed_8_12,fixed_9_13,fixed_10_14,fixed_11_15,fixed_12_16,fixed_13_17,fixed_14_18,fixed_15_19,fixed_16_20,fixed_17_21,fixed_18_22,fixed_19_23,fixed_20_24,fixed_21_25,fixed_22_26,fixed_23_27,fixed_24_28,fixed_25_29,fixed_26_30
19,40,cache,0.75,0.425,0.425,0.5,0.55,0.525,0.425,0.45,0.45,0.4375,0.5125,0.5375,0.5625,0.45,0.35,0.4125,0.4625,0.475,0.3875,0.4375,0.4,0.4625
20,40,cache,0.95,0.7,0.7,0.55,0.625,0.6125,0.6625,0.65,0.7,0.75,0.75,0.6875,0.575,0.6,0.7,0.6625,0.65,0.7125,0.6875,0.7875,0.7625,0.75
21,40,cache,0.75,0.425,0.425,0.55,0.6375,0.525,0.5625,0.575,0.55,0.4875,0.425,0.525,0.475,0.4375,0.475,0.5375,0.4875,0.55,0.5625,0.55,0.475,0.475
22,40,cache,0.8375,0.575,0.575,0.6875,0.675,0.725,0.6875,0.5125,0.4375,0.5125,0.4375,0.475,0.4875,0.4625,0.5125,0.5375,0.575,0.6375,0.525,0.5,0.45,0.4
23,40,cache,0.85,0.6375,0.6375,0.7625,0.85,0.8625,0.8,0.725,0.7625,0.725,0.7,0.65,0.5,0.4,0.5125,0.6375,0.5625,0.525,0.45,0.5375,0.6,0.55
24,40,cache,0.725,0.3625,0.3625,0.325,0.35,0.3625,0.5,0.4625,0.475,0.425,0.4375,0.425,0.45,0.4875,0.6,0.525,0.375,0.3625,0.45,0.425,0.4125,0.475
25,40,cache,0.8125,0.475,0.475,0.4375,0.55,0.5625,0.5,0.55,0.525,0.4125,0.45,0.5125,0.55,0.5625,0.4875,0.5375,0.5125,0.5875,0.5625,0.6125,0.5125,0.55
26,40,cache,0.8125,0.5,0.5,0.475,0.475,0.4625,0.525,0.6125,0.6375,0.5625,0.625,0.5375,0.3625,0.425,0.5,0.5875,0.5375,0.5125,0.3625,0.475,0.425,0.475
27,40,cache,0.775,0.4875,0.4875,0.525,0.475,0.5125,0.4625,0.5375,0.475,0.45,0.3875,0.4,0.4375,0.5,0.5,0.4625,0.5375,0.5125,0.6,0.5125,0.5375,0.55
28,40,cache,0.8,0.475,0.475,0.6,0.6375,0.5875,0.625,0.6125,0.525,0.6125,0.65,0.6125,0.65,0.675,0.675,0.6375,0.7375,0.65,0.6125,0.6125,0.575,0.65
29,40,cache,0.775,0.6125,0.6125,0.475,0.6,0.625,0.65,0.5125,0.4875,0.6125,0.575,0.4875,0.4875,0.5375,0.4875,0.475,0.425,0.3625,0.4875,0.475,0.4,0.475
30,40,cache,0.825,0.5375,0.5375,0.5875,0.5125,0.5875,0.575,0.6,0.5875,0.5375,0.5125,0.4875,0.525,0.65,0.675,0.6,0.5875,0.675,0.65,0.5375,0.6375,0.6375
31,40,cache,0.775,0.575,0.575,0.35,0.3875,0.325,0.45,0.375,0.375,0.4625,0.4,0.5375,0.575,0.5125,0.4875,0.4625,0.5125,0.475,0.45,0.425,0.3,0.35
32,40,cache,0.7875,0.525,0.525,0.4375,0.35,0.425,0.4875,0.325,0.3875,0.4375,0.4625,0.475,0.4125,0.4625,0.625,0.55,0.4875,0.5125,0.35,0.375,0.4875,0.375
33,40,cache,0.775,0.5,0.5,0.45,0.475,0.45,0.475,0.55,0.5625,0.5375,0.575,0.5625,0.5,0.475,0.5375,0.5375,0.5625,0.55,0.45,0.35,0.475,0.525
34,40,cache,0.725,0.4875,0.4875,0.3125,0.4625,0.45,0.525,0.4375,0.45,0.4,0.3875,0.3875,0.3625,0.35,0.4,0.4375,0.4125,0.3875,0.2875,0.375,0.45,0.4625
35,40,cache,0.775,0.5,0.5,0.4375,0.55,0.55,0.525,0.3875,0.4625,0.4125,0.4125,0.4625,0.45,0.525,0.5125,0.5625,0.5,0.3875,0.45,0.4375,0.4375,0.4625
36,40,cache,0.8,0.55,0.55,0.4125,0.425,0.4625,0.5875,0.6,0.525,0.5,0.475,0.5,0.45,0.425,0.375,0.3625,0.3875,0.475,0.525,0.575,0.525,0.5
37,40,cache,0.85,0.525,0.525,0.45,0.425,0.5,0.4875,0.6125,0.6625,0.575,0.6,0.7125,0.725,0.7875,0.85,0.85,0.775,0.7625,0.7625,0.675,0.65,0.675
38,40,cache,0.8125,0.475,0.475,0.4,0.4125,0.4,0.45,0.4625,0.4375,0.525,0.425,0.425,0.4,0.5,0.65,0.675,0.6625,0.65,0.525,0.4875,0.4625,0.5
39,40,cache,0.7375,0.5375,0.5375,0.4,0.425,0.525,0.4625,0.4125,0.3125,0.2625,0.4,0.4125,0.4625,0.3875,0.3875,0.425,0.4125,0.525,0.5375,0.5,0.5125,0.5375
40,40,cache,0.8125,0.6,0.6,0.6625,0.6625,0.625,0.625,0.6375,0.6125,0.65,0.675,0.65,0.5875,0.6625,0.6875,0.725,0.75,0.7125,0.5625,0.6375,0.6625,0.7125
41,40,cache,0.825,0.4875,0.4875,0.5,0.575,0.5625,0.475,0.475,0.5375,0.425,0.4375,0.4375,0.3625,0.45,0.4875,0.4875,0.55,0.6,0.4875,0.475,0.575,0.5375
42,40,cache,0.825,0.5875,0.5875,0.425,0.45,0.575,0.675,0.625,0.5125,0.4,0.4125,0.4875,0.4875,0.5125,0.475,0.6,0.65,0.6125,0.5,0.4625,0.4375,0.4625
43,40,cache,0.7875,0.4375,0.4375,0.525,0.5875,0.5375,0.4625,0.45,0.4125,0.2875,0.2875,0.375,0.425,0.4625,0.4875,0.475,0.5,0.5125,0.475,0.4375,0.35,0.375
44,40,cache,0.825,0.525,0.525,0.5875,0.65,0.65,0.5875,0.6,0.5625,0.525,0.4875,0.5125,0.5125,0.4875,0.475,0.425,0.525,0.775,0.8625,0.75,0.6625,0.6375
45,40,cache,0.8375,0.575,0.575,0.8,0.7625,0.725,0.75,0.7375,0.75,0.5875,0.525,0.4625,0.525,0.6,0.5875,0.575,0.5625,0.525,0.55,0.5375,0.5625,0.625
46,40,cache,0.825,0.6375,0.6375,0.5125,0.4625,0.3875,0.45,0.4625,0.475,0.4875,0.4625,0.525,0.55,0.5375,0.4875,0.4625,0.5125,0.525,0.55,0.5375,0.45,0.5625
47,40,cache,0.775,0.5125,0.5125,0.525,0.625,0.6,0.5125,0.375,0.4375,0.475,0.4875,0.5125,0.5875,0.5375,0.5,0.5875,0.6,0.5625,0.475,0.4875,0.45,0.5
48,40,cache,0.775,0.4,0.4,0.4125,0.45,0.375,0.45,0.525,0.525,0.5125,0.475,0.375,0.375,0.4,0.45,0.45,0.4,0.425,0.35,0.4,0.425,0.4375
49,40,cache,0.825,0.5875,0.5875,0.475,0.525,0.5625,0.5625,0.55,0.475,0.575,0.5875,0.65,0.65,0.6125,0.6,0.4875,0.5,0.5,0.5125,0.4625,0.4625,0.6625
50,40,cache,0.8125,0.4875,0.4875,0.5875,0.7,0.625,0.5125,0.5875,0.675,0.6,0.5125,0.575,0.6,0.575,0.4875,0.5375,0.475,0.5625,0.5375,0.475,0.375,0.4375
